chrom	start	end	CD8TIL-CD4bluourPBL	CD8TIL-CD8bluourPBL	CD8TIL-nB	CD8TIL-NK	CD8TIL-MnbluourPBL	CD8TIL-iDC	CD8TIL-mDC	CD8TIL-mNeu	CD8TIL-cB	CD8TIL-MEL_TUMOR	DMRchrom	DMRstart	DMRend	q	diff	#cpg	p(MWU)	p(2dks)	CD8TIL	others
chr17	3800169	3800171	-0.4602666666666667	-0.3694666666666666	-0.5206666666666666	-0.5709999999999998	-0.6000666666666666	-0.563	-0.6046666666666666	-0.4533333333333334	-0.16516666666666666	0.0006666666666667043	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800340	3800342	-0.4080666666666667	-0.3920666666666667	-0.3779999999999999	-0.40533333333333343	-0.39426666666666665	-0.40433333333333343	-0.3853333333333334	-0.3886666666666666	-0.4049999999999998	-0.1519999999999999	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800416	3800418	-0.3801999999999999	-0.2791999999999999	-0.3759999999999999	-0.3196666666666668	-0.35539999999999994	-0.33899999999999986	-0.2916666666666665	-0.31833333333333313	-0.2933333333333333	-0.18466666666666665	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800453	3800455	-0.3694	-0.2981999999999999	-0.4063333333333331	-0.3553333333333335	-0.36	-0.3596666666666667	-0.2893333333333332	-0.32099999999999995	-0.2776666666666665	-0.2586666666666667	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800479	3800481	-0.2458	-0.2468	-0.25	-0.2513333333333332	-0.2622000000000002	-0.16500000000000006	-0.21833333333333327	-0.233	-0.1920000000000001	0.013666666666666605	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800749	3800751	-0.5429333333333335	-0.4673333333333336	-0.5536666666666665	-0.24466666666666675	-0.5043333333333335	-0.4290000000000001	-0.4850000000000002	-0.4050000000000001	-0.5370000000000001	-0.4073333333333335	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800824	3800826	-0.5433333333333333	-0.3803333333333334	-0.5299999999999999	-0.4660000000000001	-0.5125333333333333	-0.523	-0.4653333333333333	-0.30666666666666664	-0.5606666666666665	-0.29399999999999993	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800830	3800832	-0.3654666666666667	-0.30166666666666664	-0.3723333333333335	-0.2353333333333334	-0.3050666666666667	-0.29766666666666675	-0.32766666666666666	-0.19600000000000006	-0.3856666666666667	-0.2763333333333333	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800909	3800911	-0.4432666666666665	-0.44206666666666655	-0.5316666666666667	-0.4859999999999998	-0.4522666666666666	-0.3066666666666667	-0.38066666666666665	-0.231	-0.5076666666666665	-0.10999999999999982	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800921	3800923	-0.4419333333333334	-0.4263333333333333	-0.4243333333333333	-0.40733333333333344	-0.42853333333333343	-0.3966666666666666	-0.3713333333333334	-0.2696666666666666	-0.44	-0.29433333333333345	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3800955	3800957	-0.5915333333333332	-0.41153333333333336	-0.6686666666666665	-0.4946666666666665	-0.5399333333333334	-0.4559999999999999	-0.5549999999999999	-0.3313333333333333	-0.5736666666666668	-0.16599999999999998	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801085	3801087	-0.4615999999999999	-0.2114999999999999	-0.7390000000000001	-0.3569999999999999	-0.628	-0.4019999999999999	-0.44999999999999984	-0.5113333333333332	-0.6916666666666667	-0.4316666666666665	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801093	3801095	-0.5835333333333333	-0.4575333333333334	-0.6356666666666667	-0.449	-0.6363333333333333	-0.32033333333333336	-0.34299999999999997	-0.4853333333333335	-0.6520000000000001	-0.6043333333333334	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
