chrom	start	end	Bcell-Naive CD8 T	Bcell-Naive CD4 T	Bcell-Mono	Bcell-NK	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2
chr1	939582	939584	0.189	0.3513333333333333	0.5893333333333333	0.6000000000000001	0.189	0.6000000000000001	0.43241666666666667	0.31070833333333336
chr1	938180	938182	0.32633333333333336	0.4126666666666666	0.4013333333333333	0.2283333333333333	0.2283333333333333	0.4126666666666666	0.3421666666666667	0.28525
chr1	936471	936473	0.3143333333333333	0.2913333333333333	0.2493333333333334	0.30799999999999994	0.2493333333333334	0.3143333333333333	0.29074999999999995	0.2700416666666667
chr1	935038	935040	0.235	0.3686666666666667	0.29466666666666663	0.16766666666666666	0.16766666666666666	0.3686666666666667	0.2665	0.21708333333333335
chr1	932975	932977	0.19933333333333336	0.2686666666666667	0.205	0.2343333333333333	0.19933333333333336	0.2686666666666667	0.2268333333333333	0.21308333333333335
chr1	925544	925546	0.35400000000000004	0.14333333333333334	0.333	0.21733333333333327	0.14333333333333334	0.35400000000000004	0.2619166666666667	0.202625
chr1	939731	939733	0.3366666666666667	0.14083333333333342	0.2453333333333333	0.326	0.14083333333333342	0.3366666666666667	0.2622083333333334	0.2015208333333334
chr1	930937	930939	0.14666666666666667	0.3566666666666667	0.475	0.125	0.125	0.475	0.2758333333333334	0.2004166666666667
chr1	939229	939231	0.09066666666666676	0.4846666666666667	0.1936666666666668	0.4360000000000001	0.09066666666666676	0.4846666666666667	0.3012500000000001	0.1959583333333334
chr1	939074	939076	0.1758333333333334	0.2235000000000001	0.1821666666666667	0.2235000000000001	0.1758333333333334	0.2235000000000001	0.20125000000000004	0.18854166666666672
chr1	932311	932313	0.2273333333333335	0.16766666666666674	0.18900000000000008	0.2016666666666668	0.16766666666666674	0.2273333333333335	0.1964166666666668	0.18204166666666677
chr1	939983	939985	0.3670000000000001	0.4433333333333334	0.13866666666666666	0.08333333333333331	0.08333333333333331	0.4433333333333334	0.2580833333333334	0.17070833333333335
chr1	925038	925040	0.3978333333333333	0.196	0.3255	0.08600000000000002	0.08600000000000002	0.3978333333333333	0.2513333333333333	0.16866666666666666
chr1	933650	933652	0.2043333333333333	0.18433333333333327	0.13966666666666672	0.2380000000000001	0.13966666666666672	0.2380000000000001	0.19158333333333336	0.16562500000000002
chr1	924750	924752	0.2543333333333333	0.11933333333333335	0.16999999999999998	0.2306666666666667	0.11933333333333335	0.2543333333333333	0.19358333333333333	0.15645833333333334
chr1	936428	936430	0.2833333333333332	0.1493333333333332	0.10933333333333327	0.2666666666666666	0.10933333333333327	0.2833333333333332	0.20216666666666655	0.15574999999999992
chr1	939291	939293	0.129	0.20066666666666666	0.2463333333333333	0.14900000000000002	0.129	0.2463333333333333	0.18125	0.155125
chr1	933094	933096	0.1293333333333333	0.22466666666666668	0.22466666666666668	0.1416666666666666	0.1293333333333333	0.22466666666666668	0.18008333333333332	0.1547083333333333
chr1	937641	937643	0.18133333333333326	0.122	0.222	0.222	0.122	0.222	0.18683333333333327	0.15441666666666665
chr1	935886	935888	0.32066666666666666	0.08466666666666668	0.09466666666666668	0.3916666666666666	0.08466666666666668	0.3916666666666666	0.22291666666666665	0.15379166666666666
