chrom	start	end	q	TIL-others	#cpg	p(MWU)	p(2dks)	TIL	others	10	11	12	13	14	15	16	17	18	Gene/Repeat type	Region
chr8	22578070	22578216	1.19e-09	-0.459232	8	4.1e-14	2.51e-13	0.29031	0.74954	0.701479167	0.290309524	0.845666667	8	-0.411169167	-0.5553566670000001	chr8	22577740	22578740	PDLIM2	promoter
chr3	114293812	114294349	2.21e-06	-0.414764	8	5.12e-14	1.15e-09	0.22914	0.6439	0.58975	0.22913888899999998	0.752208333	8	-0.36061	-0.523068333	chr3	114292997	114293997	TIGIT	promoter
chr3	114293812	114294349	2.21e-06	-0.414764	8	5.12e-14	1.15e-09	0.22914	0.6439	0.58975	0.22913888899999998	0.752208333	8	-0.36061	-0.523068333	chr3	114293027	114294027	TIGIT	promoter
chr6	149320013	149320498	1.33e-08	-0.41070100000000004	12	4.11e-14	3.6299999999999997e-12	0.20135	0.61205	0.475430556	0.201345238	0.885277778	12	-0.27408055600000003	-0.6839277779999999	chr6	149319768	149320768	TAB2	promoter
chr8	133047300	133048009	2.44e-13	-0.409308	15	4.62e-14	2.3e-17	0.31105	0.72036	0.642233333	0.311047619	0.8766	15	-0.331183333	-0.56555	chr8	133046581	133047581	MIR7848	promoter
chr12	6443979	6446469	2.04e-24	-0.408163	34	4.59e-14	2.8199999999999997e-29	0.23044	0.6386	0.535813725	0.230437908	0.8441764709999999	34	-0.30537372500000004	-0.6137364710000001	chr12	6443866	6444866	CD27	promoter
chr12	6443979	6446469	2.04e-24	-0.408163	34	4.59e-14	2.8199999999999997e-29	0.23044	0.6386	0.535813725	0.230437908	0.8441764709999999	34	-0.30537372500000004	-0.6137364710000001	chr12	6443884	6444884	CD27	promoter
chr12	6443979	6446469	2.04e-24	-0.408163	34	4.59e-14	2.8199999999999997e-29	0.23044	0.6386	0.535813725	0.230437908	0.8441764709999999	34	-0.30537372500000004	-0.6137364710000001	chr12	6444576	6445576	CD27	promoter
chr12	6443979	6446469	2.04e-24	-0.408163	34	4.59e-14	2.8199999999999997e-29	0.23044	0.6386	0.535813725	0.230437908	0.8441764709999999	34	-0.30537372500000004	-0.6137364710000001	chr12	6444587	6445587	CD27	promoter
chr11	111379627	111380103	1.98e-12	-0.386786	13	4.5e-14	2.2299999999999998e-16	0.3239	0.71068	0.631141026	0.32389743600000004	0.8697692309999999	13	-0.30724102600000003	-0.5458692310000001	chr11	111379275	111380275	POU2AF1	promoter
chr11	111379627	111380103	1.98e-12	-0.386786	13	4.5e-14	2.2299999999999998e-16	0.3239	0.71068	0.631141026	0.32389743600000004	0.8697692309999999	13	-0.30724102600000003	-0.5458692310000001	chr11	111379658	111380658	POU2AF1	promoter
chr11	111379627	111380103	1.98e-12	-0.386786	13	4.5e-14	2.2299999999999998e-16	0.3239	0.71068	0.631141026	0.32389743600000004	0.8697692309999999	13	-0.30724102600000003	-0.5458692310000001	chr11	111379671	111380671	POU2AF1	promoter
chr6	137870863	137871852	5.579999999999999e-09	-0.380826	17	6.21e-14	1.38e-12	0.11455	0.49537	0.315098039	0.114546218	0.855921569	17	-0.200548039	-0.741371569	chr6	137870034	137871034	TNFAIP3	promoter
chr6	137870863	137871852	5.579999999999999e-09	-0.380826	17	6.21e-14	1.38e-12	0.11455	0.49537	0.315098039	0.114546218	0.855921569	17	-0.200548039	-0.741371569	chr6	137870412	137871412	TNFAIP3	promoter
chr12	47217355	47219085	3.5100000000000006e-17	-0.37996399999999997	28	4.1e-14	1.7e-21	0.21811999999999998	0.59809	0.48164881	0.218123016	0.8309642859999999	28	-0.26352881	-0.612844286	chr12	47216443	47217443	PCED1B-AS1	promoter
chr3	114316569	114317971	2.84e-22	-0.379506	18	4.33e-14	5.84e-27	0.48944	0.8689399999999999	0.864009259	0.489438272	0.878814815	18	-0.374569259	-0.389374815	chr3	114316569	114317569	MIR568	promoter
chr12	47211850	47212062	3.03e-09	-0.373458	16	4.53e-14	6.999999999999999e-13	0.29683000000000004	0.67028	0.570822917	0.29682638899999997	0.869208333	16	-0.27399291699999995	-0.572378333	chr12	47211235	47212235	PCED1B	promoter
chr12	47211850	47212062	3.03e-09	-0.373458	16	4.53e-14	6.999999999999999e-13	0.29683000000000004	0.67028	0.570822917	0.29682638899999997	0.869208333	16	-0.27399291699999995	-0.572378333	chr12	47211232	47212232	PCED1B	promoter
