chrom	start	end	Naive CD4 T-Naive CD8 T	Naive CD4 T-Mono	Naive CD4 T-NK	Naive CD4 T-B_cell	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	Minimum delta rank	Average delta rank	(Minimum delta rank+Average delta rank)/2
chr1	933908	933910	0.5954999999999999	0.248	0.3818333333333334	0.24716666666666665	0.24716666666666665	0.5954999999999999	0.368125	0.3076458333333333	4.0	2.0	3.0
chr1	938879	938881	0.3715000000000001	0.393	0.3270000000000001	0.2500000000000001	0.2500000000000001	0.393	0.3353750000000001	0.2926875000000001	2.0	10.0	6.0
chr1	927476	927478	0.1926666666666667	0.5138333333333334	0.4316666666666666	0.3076666666666666	0.1926666666666667	0.5138333333333334	0.3614583333333333	0.2770625	11.0	4.0	7.5
chr1	937456	937458	0.20000000000000007	0.33333333333333337	0.33333333333333337	0.5	0.20000000000000007	0.5	0.3416666666666667	0.27083333333333337	9.0	7.0	8.0
chr1	932855	932857	0.29166666666666674	0.37	0.28766666666666674	0.2616666666666666	0.2616666666666666	0.37	0.30275	0.2822083333333333	1.0	17.0	9.0
chr1	923666	923668	0.4163333333333333	0.25966666666666666	0.19566666666666666	0.395	0.19566666666666666	0.4163333333333333	0.31666666666666665	0.25616666666666665	10.0	11.0	10.5
chr1	926194	926196	0.17133333333333334	0.3880000000000001	0.557	0.2763333333333333	0.17133333333333334	0.557	0.3481666666666667	0.25975000000000004	16.0	6.0	11.0
chr1	924395	924397	0.267	0.3443333333333333	0.25	0.2766666666666667	0.25	0.3443333333333333	0.2845	0.26725	3.0	20.0	11.5
chr1	930026	930028	0.16799999999999993	0.466	0.466	0.2436666666666667	0.16799999999999993	0.466	0.33591666666666664	0.2519583333333333	17.0	9.0	13.0
chr1	939136	939138	0.31833333333333336	0.3653333333333334	0.20166666666666666	0.2526666666666667	0.20166666666666666	0.3653333333333334	0.28450000000000003	0.24308333333333335	8.0	19.0	13.5
chr1	939257	939259	0.17966666666666653	0.259	0.4046666666666666	0.2779999999999999	0.17966666666666653	0.4046666666666666	0.2803333333333333	0.22999999999999993	14.0	21.0	17.5
chr1	940969	940971	0.19033333333333333	0.19433333333333333	0.3263333333333333	0.37833333333333335	0.19033333333333333	0.37833333333333335	0.2723333333333333	0.23133333333333334	12.0	23.0	17.5
chr1	941290	941292	0.39666666666666667	0.43533333333333335	0.275	0.15633333333333335	0.15633333333333335	0.43533333333333335	0.3158333333333334	0.23608333333333337	24.0	12.0	18.0
chr1	936007	936009	0.3905	0.2736666666666667	0.6495	0.14166666666666666	0.14166666666666666	0.6495	0.3638333333333333	0.25275	35.0	3.0	19.0
chr1	930258	930260	0.20833333333333331	0.30566666666666675	0.2971666666666667	0.2406666666666667	0.20833333333333331	0.30566666666666675	0.2629583333333334	0.23564583333333336	6.0	32.0	19.0
chr1	924929	924931	0.2335	0.25	0.2515	0.2733333333333333	0.2335	0.2733333333333333	0.2520833333333333	0.24279166666666668	5.0	35.0	20.0
chr1	932557	932559	0.2830000000000001	0.2140000000000002	0.29633333333333345	0.2076666666666668	0.2076666666666668	0.29633333333333345	0.2502500000000001	0.22895833333333343	7.0	37.0	22.0
chr1	938957	938959	0.20616666666666672	0.35883333333333345	0.3081666666666668	0.1831666666666668	0.1831666666666668	0.35883333333333345	0.26408333333333345	0.22362500000000013	13.0	31.0	22.0
chr1	924256	924258	0.421	0.19899999999999998	0.16666666666666666	0.292	0.16666666666666666	0.421	0.2696666666666667	0.21816666666666668	18.0	26.0	22.0
chr1	941567	941569	0.18733333333333327	0.15966666666666668	0.3606666666666667	0.38133333333333336	0.15966666666666668	0.38133333333333336	0.27225	0.21595833333333334	21.0	24.0	22.5
chr1	933789	933791	0.4125	0.5666666666666667	0.6440000000000001	0.12333333333333335	0.12333333333333335	0.6440000000000001	0.436625	0.27997916666666667	45.0	1.0	23.0
chr1	939220	939222	0.14833333333333334	0.3643333333333333	0.4556666666666667	0.23966666666666664	0.14833333333333334	0.4556666666666667	0.302	0.22516666666666668	31.0	18.0	24.5
chr1	925884	925886	0.3670000000000001	0.1515	0.166	0.4156666666666666	0.1515	0.4156666666666666	0.2750416666666667	0.21327083333333335	28.0	22.0	25.0
chr1	936841	936843	0.1226666666666666	0.32233333333333325	0.4049999999999999	0.4009999999999999	0.1226666666666666	0.4049999999999999	0.3127499999999999	0.21770833333333325	46.0	13.0	29.5
chr1	924980	924982	0.3336666666666666	0.19966666666666666	0.16649999999999998	0.26666666666666666	0.16649999999999998	0.3336666666666666	0.241625	0.20406249999999998	19.0	41.0	30.0
chr1	925376	925378	0.25	0.3993333333333333	0.4443333333333333	0.125	0.125	0.4443333333333333	0.30466666666666664	0.21483333333333332	44.0	16.0	30.0
chr1	941170	941172	0.4930000000000001	0.29266666666666663	0.32766666666666666	0.11633333333333334	0.11633333333333334	0.4930000000000001	0.3074166666666667	0.21187500000000004	52.0	14.0	33.0
