chrom	start	end	Average delta rank	Minimum delta rank	B_cell-NK	B_cell-Naive CD8 T	B_cell-Naive CD4 T	B_cell-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2
chr1	938180	938182	1	1	0.2283333333333333	0.32633333333333336	0.4126666666666666	0.4013333333333333	0.2283333333333333	0.4126666666666666	0.3421666666666666	0.28524999999999995	1.0
chr1	939582	939584	0	3	0.6000000000000001	0.189	0.3513333333333333	0.5893333333333333	0.189	0.6000000000000001	0.43241666666666667	0.31070833333333336	1.5
chr1	936471	936473	3	0	0.30799999999999994	0.3143333333333333	0.2913333333333333	0.2493333333333334	0.2493333333333334	0.3143333333333333	0.29074999999999995	0.2700416666666667	1.5
chr1	935038	935040	5	6	0.16766666666666666	0.235	0.3686666666666667	0.29466666666666663	0.16766666666666666	0.3686666666666667	0.2665	0.21708333333333335	5.5
chr1	939731	939733	6	8	0.326	0.3366666666666667	0.14083333333333342	0.2453333333333333	0.14083333333333342	0.3366666666666667	0.2622083333333334	0.2015208333333334	7.0
chr1	925544	925546	7	7	0.21733333333333327	0.35400000000000004	0.14333333333333334	0.333	0.14333333333333334	0.35400000000000004	0.2619166666666667	0.202625	7.0
chr1	932975	932977	12	2	0.2343333333333333	0.19933333333333336	0.2686666666666667	0.205	0.19933333333333336	0.2686666666666667	0.2268333333333333	0.21308333333333335	7.0
chr1	930937	930939	4	13	0.125	0.14666666666666667	0.3566666666666667	0.475	0.125	0.475	0.2758333333333334	0.2004166666666667	8.5
chr1	939074	939076	18	4	0.2235000000000001	0.1758333333333334	0.2235000000000001	0.1821666666666667	0.1758333333333334	0.2235000000000001	0.20125000000000004	0.18854166666666672	11.0
chr1	932311	932313	21	5	0.2016666666666668	0.2273333333333335	0.16766666666666674	0.18900000000000008	0.16766666666666674	0.2273333333333335	0.1964166666666668	0.18204166666666677	13.0
chr1	939229	939231	2	25	0.4360000000000001	0.09066666666666676	0.4846666666666667	0.1936666666666668	0.09066666666666676	0.4846666666666667	0.3012500000000001	0.1959583333333334	13.5
chr1	933650	933652	25	9	0.2380000000000001	0.2043333333333333	0.18433333333333327	0.13966666666666672	0.13966666666666672	0.2380000000000001	0.19158333333333336	0.16562500000000002	17.0
chr1	936428	936430	16	19	0.2666666666666666	0.2833333333333332	0.1493333333333332	0.10933333333333327	0.10933333333333327	0.2833333333333332	0.20216666666666655	0.15574999999999992	17.5
chr1	925038	925040	9	29	0.08600000000000002	0.3978333333333333	0.196	0.3255	0.08600000000000002	0.3978333333333333	0.2513333333333333	0.16866666666666666	19.0
chr1	924750	924752	22	17	0.2306666666666667	0.2543333333333333	0.11933333333333335	0.16999999999999998	0.11933333333333335	0.2543333333333333	0.19358333333333333	0.15645833333333334	19.5
chr1	933094	933096	29	10	0.1416666666666666	0.1293333333333333	0.22466666666666668	0.22466666666666668	0.1293333333333333	0.22466666666666668	0.18008333333333332	0.1547083333333333	19.5
chr1	939291	939293	28	11	0.14900000000000002	0.129	0.20066666666666666	0.2463333333333333	0.129	0.2463333333333333	0.18125	0.155125	19.5
chr1	939983	939985	8	32	0.08333333333333331	0.3670000000000001	0.4433333333333334	0.13866666666666666	0.08333333333333331	0.4433333333333334	0.2580833333333334	0.17070833333333335	20.0
chr1	937641	937643	27	14	0.222	0.18133333333333326	0.122	0.222	0.122	0.222	0.18683333333333327	0.15441666666666665	20.5
chr1	929547	929549	30	12	0.2279999999999999	0.1333333333333334	0.2296666666666667	0.127	0.127	0.2296666666666667	0.1795	0.15325	21.0
chr1	935886	935888	13	31	0.3916666666666666	0.32066666666666666	0.08466666666666668	0.09466666666666668	0.08466666666666668	0.3916666666666666	0.22291666666666665	0.15379166666666666	22.0
chr1	930038	930040	20	26	0.2333333333333334	0.08933333333333349	0.2333333333333334	0.2333333333333334	0.08933333333333349	0.2333333333333334	0.19733333333333344	0.14333333333333348	23.0
chr1	938540	938542	15	34	0.1393333333333332	0.2576666666666667	0.33266666666666656	0.08166666666666668	0.08166666666666668	0.33266666666666656	0.20283333333333328	0.14225	24.5
chr1	926094	926096	36	16	0.184	0.11933333333333335	0.203	0.12	0.11933333333333335	0.203	0.15658333333333332	0.13795833333333335	26.0
chr1	926505	926507	32	21	0.20166666666666647	0.10266666666666667	0.1303333333333334	0.2506666666666667	0.10266666666666667	0.2506666666666667	0.17133333333333334	0.137	26.5
chr1	924398	924400	14	40	0.15650000000000006	0.0705	0.126	0.4666666666666666	0.0705	0.4666666666666666	0.20491666666666666	0.13770833333333332	27.0
chr1	939277	939279	44	15	0.15433333333333332	0.1203333333333334	0.15433333333333332	0.15433333333333332	0.1203333333333334	0.15433333333333332	0.14583333333333334	0.1330833333333334	29.5
chr1	924461	924463	17	44	0.11800000000000001	0.22333333333333336	0.0625	0.4043333333333334	0.0625	0.4043333333333334	0.20204166666666667	0.13227083333333334	30.5
chr1	923446	923448	34	28	0.08633333333333335	0.2203333333333333	0.2083333333333333	0.15	0.08633333333333335	0.2203333333333333	0.16624999999999998	0.12629166666666666	31.0
chr1	924392	924394	19	45	0.2755	0.06200000000000001	0.1585	0.3073333333333333	0.06200000000000001	0.3073333333333333	0.2008333333333333	0.13141666666666665	32.0
chr1	925086	925088	23	42	0.4166666666666667	0.19933333333333333	0.06666666666666665	0.08999999999999997	0.06666666666666665	0.4166666666666667	0.19316666666666665	0.12991666666666665	32.5
chr1	925006	925008	42	23	0.096	0.23750000000000004	0.096	0.16049999999999998	0.096	0.23750000000000004	0.1475	0.12175	32.5
chr1	929009	929011	11	56	0.2343333333333333	0.23766666666666664	0.3973333333333333	0.050166666666666665	0.050166666666666665	0.3973333333333333	0.229875	0.14002083333333332	33.5
chr1	929632	929634	50	18	0.15266666666666673	0.15266666666666673	0.15266666666666673	0.1110000000000001	0.1110000000000001	0.15266666666666673	0.14225000000000007	0.1266250000000001	34.0
chr1	925097	925099	38	35	0.08166666666666668	0.2436666666666667	0.111	0.17616666666666667	0.08166666666666668	0.2436666666666667	0.153125	0.11739583333333334	36.5
chr1	929646	929648	54	22	0.12766666666666682	0.09699999999999998	0.15200000000000002	0.17866666666666664	0.09699999999999998	0.17866666666666664	0.13883333333333334	0.11791666666666666	38.0
chr1	924771	924773	49	30	0.08499999999999999	0.2313333333333333	0.12566666666666665	0.12899999999999998	0.08499999999999999	0.2313333333333333	0.14275	0.11387499999999999	39.5
chr1	924802	924804	53	27	0.13633333333333333	0.18566666666666667	0.14766666666666664	0.08733333333333332	0.08733333333333332	0.18566666666666667	0.13924999999999998	0.11329166666666665	40.0
chr1	935429	935431	10	71	0.2226666666666668	0.3976666666666667	0.3140000000000001	0.03700000000000003	0.03700000000000003	0.3976666666666667	0.24283333333333346	0.13991666666666674	40.5
chr1	924804	924806	59	24	0.14899999999999994	0.181	0.09166666666666666	0.10766666666666667	0.09166666666666666	0.181	0.13233333333333333	0.11199999999999999	41.5
chr1	936939	936941	51	33	0.16666666666666666	0.14900000000000002	0.08333333333333326	0.16666666666666666	0.08333333333333326	0.16666666666666666	0.14141666666666666	0.11237499999999996	42.0
chr1	924297	924299	26	66	0.4188333333333334	0.1813333333333333	0.040999999999999995	0.11383333333333336	0.040999999999999995	0.4188333333333334	0.18875000000000006	0.11487500000000003	46.0
chr1	939769	939771	56	39	0.1965	0.10449999999999998	0.16883333333333336	0.07383333333333336	0.07383333333333336	0.1965	0.13591666666666669	0.10487500000000002	47.5
chr1	926072	926074	60	37	0.13333333333333336	0.07633333333333332	0.23400000000000004	0.07766666666666668	0.07633333333333332	0.23400000000000004	0.13033333333333336	0.10333333333333333	48.5
chr1	924766	924768	57	41	0.12466666666666665	0.2363333333333333	0.06999999999999998	0.107	0.06999999999999998	0.2363333333333333	0.13449999999999998	0.10224999999999998	49.0
chr1	929195	929197	45	55	0.0508333333333334	0.19433333333333336	0.19433333333333336	0.1426666666666666	0.0508333333333334	0.19433333333333336	0.14554166666666668	0.09818750000000004	50.0
chr1	930904	930906	65	38	0.18833333333333327	0.07433333333333336	0.08566666666666678	0.16166666666666665	0.07433333333333336	0.18833333333333327	0.12750000000000006	0.10091666666666671	51.5
chr1	925557	925559	55	50	0.055666666666666656	0.21466666666666664	0.06899999999999999	0.2083333333333333	0.055666666666666656	0.21466666666666664	0.13691666666666666	0.09629166666666666	52.5
chr1	927399	927401	62	43	0.18833333333333327	0.15500000000000005	0.06433333333333335	0.10483333333333332	0.06433333333333335	0.18833333333333327	0.12812500000000002	0.09622916666666669	52.5
chr1	939933	939935	48	57	0.22766666666666666	0.147	0.04966666666666672	0.15266666666666664	0.04966666666666672	0.22766666666666666	0.14425	0.09695833333333335	52.5
chr1	927942	927944	85	20	0.1033333333333334	0.1033333333333334	0.1033333333333334	0.1033333333333334	0.1033333333333334	0.1033333333333334	0.1033333333333334	0.1033333333333334	52.5
chr1	923217	923219	47	61	0.04466666666666663	0.12533333333333332	0.2793333333333333	0.13133333333333333	0.04466666666666663	0.2793333333333333	0.14516666666666664	0.09491666666666664	54.0
chr1	929556	929558	63	48	0.2843333333333334	0.08666666666666667	0.08333333333333337	0.056666666666666636	0.056666666666666636	0.2843333333333334	0.12775	0.09220833333333332	55.5
chr1	936091	936093	39	73	0.03516666666666668	0.17199999999999993	0.3696666666666667	0.034666666666666617	0.034666666666666617	0.3696666666666667	0.15287499999999998	0.0937708333333333	56.0
chr1	925122	925124	41	74	0.2425	0.05466666666666667	0.034333333333333334	0.2715	0.034333333333333334	0.2715	0.15075	0.09254166666666666	57.5
chr1	937802	937804	46	72	0.19999999999999984	0.03699999999999992	0.12199999999999987	0.22233333333333327	0.03699999999999992	0.22233333333333327	0.14533333333333326	0.09116666666666659	59.0
chr1	935596	935598	24	95	0.13766666666666666	0.022333333333333368	0.4356666666666667	0.1756666666666667	0.022333333333333368	0.4356666666666667	0.19283333333333336	0.10758333333333336	59.5
chr1	928218	928220	70	51	0.09466666666666668	0.1186666666666667	0.055666666666666635	0.21133333333333326	0.055666666666666635	0.21133333333333326	0.12008333333333332	0.08787499999999998	60.5
chr1	937736	937738	58	65	0.08199999999999996	0.207	0.04133333333333333	0.207	0.04133333333333333	0.207	0.1343333333333333	0.08783333333333332	61.5
chr1	923764	923766	61	63	0.042666666666666665	0.12366666666666667	0.14	0.2146666666666667	0.042666666666666665	0.2146666666666667	0.13025	0.08645833333333333	62.0
chr1	930967	930969	35	91	0.18900000000000008	0.023333333333333428	0.18200000000000005	0.2376666666666667	0.023333333333333428	0.2376666666666667	0.15800000000000006	0.09066666666666674	63.0
chr1	927755	927757	80	47	0.09400000000000007	0.05700000000000005	0.1263333333333333	0.15900000000000014	0.05700000000000005	0.15900000000000014	0.1090833333333334	0.08304166666666672	63.5
chr1	937037	937039	93	36	0.1326666666666667	0.07700000000000007	0.07700000000000007	0.09133333333333338	0.07700000000000007	0.1326666666666667	0.09450000000000006	0.08575000000000006	64.5
chr1	925084	925086	31	99	0.4206666666666666	0.2023333333333333	0.01899999999999999	0.07199999999999998	0.01899999999999999	0.4206666666666666	0.17849999999999994	0.09874999999999996	65.0
chr1	929507	929509	77	53	0.14633333333333332	0.07233333333333336	0.18299999999999994	0.055333333333333234	0.055333333333333234	0.18299999999999994	0.11424999999999995	0.0847916666666666	65.0
chr1	935825	935827	40	93	0.023333333333333317	0.2240000000000001	0.24366666666666664	0.11833333333333328	0.023333333333333317	0.24366666666666664	0.15233333333333332	0.08783333333333332	66.5
chr1	926997	926999	81	52	0.08333333333333326	0.05566666666666653	0.16666666666666666	0.13	0.05566666666666653	0.16666666666666666	0.1089166666666666	0.08229166666666657	66.5
chr1	925578	925580	52	82	0.030999999999999993	0.18333333333333326	0.04533333333333333	0.3001666666666667	0.030999999999999993	0.3001666666666667	0.13995833333333332	0.08547916666666666	67.0
