chrom	start	end	q	diff	#cpg	p(MWU)	p(2dks)	mNeu	others	CD4	CD8	nB	NK	Mn	mNeu.1	m8	DC	Eo	Tr	m4	Mg	Er	mB	mycpgcount	mNeu-CD4	mNeu-CD8	mNeu-nB	mNeu-NK	mNeu-Mn	mNeu-m8	mNeu-DC	mNeu-Eo	mNeu-Tr	mNeu-m4	mNeu-Mg	mNeu-Er	mNeu-mB	maxCompartmentwisedelta	minCompartmentwiseDelta
chr1	13711401	13711603	2.1656e-06	-0.921644	4	1.0361000000000001e-08	2.0076e-09	0.016	0.9376399999999999	0.979	0.9410833333333336	0.983	0.9516666666666668	0.9379166666666666	0.016	0.978125	0.9064166666666668	0.759	0.979875	0.9695	0.933125	0.86775	0.95675	4	-0.963	-0.9250833333333336	-0.9670000000000001	-0.9356666666666668	-0.9219166666666666	-0.962125	-0.8904166666666667	-0.743	-0.963875	-0.9535	-0.917125	-0.85175	-0.94075	-0.743	-0.9670000000000001
chr1	21459675	21459830	1.5484999999999999e-06	-0.839886	4	1.0361000000000001e-08	1.3301e-09	0.10658	0.94647	0.9774166666666666	0.9595	0.9729166666666668	0.9599166666666666	0.9003333333333334	0.10658333333333334	0.99	0.8857499999999999	0.8165	0.964375	0.970375	0.963625	0.9785	0.9664166666666668	4	-0.8708366666666666	-0.8529200000000001	-0.8663366666666666	-0.8533366666666666	-0.7937533333333334	-0.8834200000000001	-0.7791699999999999	-0.70992	-0.8577950000000001	-0.8637949999999999	-0.8570450000000001	-0.87192	-0.8598366666666667	-0.70992	-0.8834200000000001
chr1	36418604	36418987	2.4249e-12	-0.816691	8	4.5186e-14	3.4278e-16	0.11912	0.9358200000000001	0.9797916666666666	0.9340416666666668	0.9488333333333332	0.9354166666666668	0.945125	0.11912499999999995	0.9330625	0.9484375	0.8388124999999998	0.92	0.9526875	0.938375	0.9114375	0.9394166666666666	8	-0.8606716666666666	-0.8149216666666668	-0.8297133333333333	-0.8162966666666667	-0.8260050000000001	-0.8139424999999999	-0.8293174999999999	-0.7196924999999998	-0.8008799999999999	-0.8335674999999999	-0.819255	-0.7923175	-0.8202966666666666	-0.7196924999999998	-0.8606716666666666
chr1	38493747	38493790	8.9175e-06	-0.8705149999999999	4	1.0361000000000001e-08	1.0891e-08	0.01575	0.8862700000000001	0.9358333333333332	0.9185833333333332	0.9585	0.91525	0.8117500000000001	0.01575	0.8757499999999999	0.8625833333333333	0.7945	0.8703749999999999	0.91075	0.839875	0.884875	0.8956666666666665	4	-0.9200833333333333	-0.9028333333333332	-0.94275	-0.8995	-0.7959999999999999	-0.8599999999999999	-0.8468333333333332	-0.7787499999999999	-0.8546249999999999	-0.8949999999999999	-0.824125	-0.8691249999999999	-0.8799166666666665	-0.7787499999999999	-0.94275
chr1	44333641	44333776	1.7308000000000004e-06	-0.8613639999999999	4	1.0361000000000001e-08	1.5295999999999998e-09	0.08733300000000001	0.9487	0.9719166666666668	0.9508333333333334	0.9796666666666668	0.9486666666666668	0.9225	0.08733333333333332	0.97525	0.9081666666666666	0.8771250000000002	0.967625	0.979	0.962125	0.9129999999999999	0.9711666666666666	4	-0.8845836666666668	-0.8635003333333334	-0.8923336666666667	-0.8613336666666668	-0.835167	-0.8879170000000001	-0.8208336666666666	-0.7897920000000002	-0.8802920000000001	-0.8916670000000001	-0.874792	-0.825667	-0.8838336666666666	-0.7897920000000002	-0.8923336666666667
chr1	77139180	77139311	1.6078e-06	-0.80325	4	1.0361000000000001e-08	1.3897999999999999e-09	0.14242	0.9456700000000001	0.98525	0.9494166666666666	0.9695833333333334	0.9665	0.9489166666666669	0.1424166666666667	0.973	0.93925	0.874125	0.971375	0.958375	0.95525	0.85975	0.9155	4	-0.84283	-0.8069966666666666	-0.8271633333333334	-0.8240799999999999	-0.8064966666666669	-0.8305799999999999	-0.79683	-0.731705	-0.8289549999999999	-0.815955	-0.81283	-0.71733	-0.7730800000000001	-0.71733	-0.84283
chr1	162344571	162344674	1.6962e-06	-0.8630530000000001	4	1.0361000000000001e-08	1.4870999999999998e-09	0.052583000000000005	0.91564	0.9708333333333334	0.9636666666666668	0.9820833333333332	0.9566666666666668	0.8595	0.052583333333333336	0.945	0.76675	0.813375	0.954375	0.931125	0.921375	0.925125	0.91225	4	-0.9182503333333334	-0.9110836666666666	-0.9295003333333332	-0.9040836666666666	-0.806917	-0.892417	-0.714167	-0.7607919999999999	-0.901792	-0.8785419999999999	-0.868792	-0.872542	-0.859667	-0.714167	-0.9295003333333332
chr1	233257872	233258087	1.4582999999999999e-08	-0.79346	6	2.27e-12	6.0064e-12	0.15839	0.95185	0.9939444444444444	0.9592222222222224	0.952277777777778	0.9511666666666668	0.9591666666666666	0.15838888888888888	0.9600833333333332	0.9593333333333334	0.9400833333333334	0.9575	0.9705	0.8861666666666667	0.8660000000000001	0.975	6	-0.8355544444444444	-0.8008322222222223	-0.7938877777777779	-0.7927766666666668	-0.8007766666666666	-0.8016933333333333	-0.8009433333333333	-0.7816933333333334	-0.79911	-0.8121099999999999	-0.7277766666666666	-0.7076100000000001	-0.8166100000000001	-0.7076100000000001	-0.8355544444444444
chr1	248746312	248746624	2.0102e-11	-0.8122159999999999	7	7.5828e-14	3.618099999999999e-15	0.11514	0.9273600000000001	0.9777619047619048	0.9516190476190476	0.9761428571428572	0.9348571428571428	0.9374285714285716	0.11514285714285714	0.9242857142857144	0.9099047619047618	0.8183571428571428	0.9187142857142856	0.8882142857142857	0.9157857142857144	0.9139285714285714	0.9270476190476192	7	-0.8626219047619047	-0.8364790476190476	-0.8610028571428572	-0.8197171428571428	-0.8222885714285715	-0.8091457142857144	-0.7947647619047618	-0.7032171428571428	-0.8035742857142857	-0.7730742857142857	-0.8006457142857144	-0.7987885714285714	-0.8119076190476191	-0.7032171428571428	-0.8626219047619047
chr10	12603190	12603309	5.9628e-09	-0.8189649999999999	6	2.27e-12	2.1921e-12	0.12728	0.94624	0.972	0.9407777777777776	0.9683888888888889	0.9775555555555556	0.8816666666666667	0.12727777777777774	0.9564166666666668	0.9072222222222224	0.907	0.9580833333333332	0.9715833333333334	0.97175	0.9383333333333334	0.9589444444444444	6	-0.8447199999999999	-0.8134977777777777	-0.8411088888888889	-0.8502755555555557	-0.7543866666666668	-0.8291366666666666	-0.7799422222222223	-0.77972	-0.8308033333333333	-0.8443033333333334	-0.84447	-0.8110533333333334	-0.8316644444444445	-0.7543866666666668	-0.8502755555555557
