chrom	start	end	celltype
chr1	12168469	12168471	[Tr]
chr1	12168485	12168487	[Tr]
chr1	12168489	12168491	[Tr]
chr1	12168553	12168555	[Tr]
chr1	12168794	12168796	[Tr]
chr1	12168812	12168814	[Tr]
chr1	12168952	12168954	[Tr]
chr1	12168954	12168956	[Tr]
chr1	12168978	12168980	[Tr]
chr1	12169005	12169007	[Tr]
chr1	12169035	12169037	[Tr]
chr1	12169120	12169122	[Tr]
chr1	12169150	12169152	[Tr]
chr10	17650748	17650750	[Tr]
chr10	17650750	17650752	[Tr]
chr10	17650761	17650763	[Tr]
chr10	17650790	17650792	[Tr]
chr10	17650792	17650794	[Tr]
chr10	17650802	17650804	[Tr]
chr10	17650830	17650832	[Tr]
chr10	17650839	17650841	[Tr]
chr10	17650860	17650862	[Tr]
chr10	17650924	17650926	[Tr]
chr10	17650932	17650934	[Tr]
chr10	17650936	17650938	[Tr]
chr10	17650980	17650982	[Tr]
chr10	17650995	17650997	[Tr]
chr10	17651004	17651006	[Tr]
chr10	17651050	17651052	[Tr]
chr10	17651058	17651060	[Tr]
chr10	17651107	17651109	[Tr]
chr10	17660299	17660301	[Tr]
chr10	17660476	17660478	[Tr]
chr10	17660540	17660542	[Tr]
chr10	17660560	17660562	[Tr]
chr10	17660598	17660600	[Tr]
chr10	17660664	17660666	[Tr]
chr10	17660729	17660731	[Tr]
chr10	17660755	17660757	[Tr]
chr12	56022829	56022831	[Tr]
chr12	56022837	56022839	[Tr]
chr12	56022859	56022861	[Tr]
chr12	56022861	56022863	[Tr]
chr12	56022867	56022869	[Tr]
chr12	56022884	56022886	[Tr]
chr12	56022899	56022901	[Tr]
chr12	56022923	56022925	[Tr]
chr12	56022943	56022945	[Tr]
chr12	56022947	56022949	[Tr]
chr12	56022959	56022961	[Tr]
chr12	56022988	56022990	[Tr]
chr12	56022999	56023001	[Tr]
chr12	56023019	56023021	[Tr]
chr12	56023033	56023035	[Tr]
chr12	56023040	56023042	[Tr]
chr12	56023044	56023046	[Tr]
chr12	56023077	56023079	[Tr]
chr12	56023093	56023095	[Tr]
chr12	56023097	56023099	[Tr]
chr12	56023152	56023154	[Tr]
chr12	56023178	56023180	[Tr]
chr13	46651384	46651386	[Tr]
chr13	46651428	46651430	[Tr]
chr13	46651433	46651435	[Tr]
chr13	46651442	46651444	[Tr]
chr13	46651457	46651459	[Tr]
chr13	46651477	46651479	[Tr]
chr13	46651488	46651490	[Tr]
chr13	46651519	46651521	[Tr]
chr13	46651527	46651529	[Tr]
chr13	46651554	46651556	[Tr]
chr13	46651574	46651576	[Tr]
chr13	46651584	46651586	[Tr]
chr13	46651600	46651602	[Tr]
chr13	46651616	46651618	[Tr]
chr13	46651629	46651631	[Tr]
chr13	46651647	46651649	[Tr]
chr13	46651760	46651762	[Tr]
chr13	46651792	46651794	[Tr]
chr18	13382884	13382886	[Tr]
chr18	13382895	13382897	[Tr]
chr18	13382911	13382913	[Tr]
chr18	13383177	13383179	[Tr]
chr18	13383234	13383236	[Tr]
chr18	13383247	13383249	[Tr]
chr18	13383335	13383337	[Tr]
chr18	13383363	13383365	[Tr]
chr18	13383373	13383375	[Tr]
chr18	13383527	13383529	[Tr]
chr18	13383549	13383551	[Tr]
chr18	13383553	13383555	[Tr]
chr18	13383563	13383565	[Tr]
chr18	13383597	13383599	[Tr]
chr18	13383665	13383667	[Tr]
chr18	13383749	13383751	[Tr]
chr18	13383786	13383788	[Tr]
chr18	13383836	13383838	[Tr]
chr18	13383856	13383858	[Tr]
chr18	13383986	13383988	[Tr]
chr18	13384001	13384003	[Tr]
chr18	13384040	13384042	[Tr]
chr18	13384078	13384080	[Tr]
chr2	203835817	203835819	[Tr]
chr2	203835825	203835827	[Tr]
chr2	203835855	203835857	[Tr]
chr2	203835876	203835878	[Tr]
chr2	203835888	203835890	[Tr]
chr2	203835898	203835900	[Tr]
chr2	203835929	203835931	[Tr]
