chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	936082	936084	0.501	0.33299999999999996	1.0	0.802	0.28600000000000003	0.887	NA	1.0	1.0	0.833	0.8	0.626	0.574	0.0	NA
chr1	928247	928249	1.0	1.0	1.0	1.0	0.875	0.7140000000000001	0.835	1.0	1.0	0.9359999999999999	0.665	1.0	1.0	0.0	NA
chr1	935577	935579	0.867	0.0	1.0	0.6659999999999999	0.0	0.882	0.753	0.7140000000000001	0.643	0.41700000000000004	0.384	1.0	0.602	0.29	0.0
chr1	940039	940041	0.503	0.25	0.44799999999999995	0.667	0.602	0.39799999999999996	NA	0.667	0.602	0.581	0.22	0.667	0.37200000000000005	0.0	NA
chr1	923025	923027	0.624	0.833	0.667	0.907	0.7340000000000001	0.904	0.753	0.667	1.0	0.898	0.713	0.825	0.6920000000000001	0.596	0.165
chr1	924594	924596	0.67	NA	0.16699999999999998	0.0	0.402	0.25	0.33299999999999996	0.33299999999999996	NA	0.49700000000000005	NA	0.0	0.0	0.0	NA
chr1	930255	930257	1.0	1.0	1.0	0.89	0.9009999999999999	0.8909999999999999	1.0	NA	1.0	1.0	1.0	0.831	1.0	1.0	0.0
chr1	929755	929757	1.0	NA	1.0	0.8909999999999999	0.893	1.0	1.0	1.0	1.0	1.0	1.0	0.9179999999999999	0.9109999999999999	0.753	0.5
chr1	925596	925598	0.429	NA	0.33299999999999996	0.402	0.33299999999999996	0.141	0.29	0.33299999999999996	0.0	0.248	0.335	0.0	0.0	0.0	0.0
chr1	940035	940037	1.0	0.0	0.37200000000000005	0.667	0.39799999999999996	0.0	NA	0.5	0.602	0.725	0.44299999999999995	0.778	0.28600000000000003	0.098	NA
chr1	932873	932875	1.0	1.0	1.0	1.0	0.8	1.0	1.0	1.0	0.603	0.7979999999999999	0.75	1.0	0.8909999999999999	0.33299999999999996	0.753
chr1	925584	925586	0.305	NA	0.16699999999999998	0.335	0.0	0.235	0.29	0.5	0.0	0.462	0.5	0.0	0.0	0.0	0.0
chr1	941729	941731	0.5	0.5	0.124	0.75	0.247	0.0	1.0	0.0	0.0	0.337	0.0	0.37200000000000005	0.2	0.0	0.0
chr1	936736	936738	1.0	1.0	0.8	0.75	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	0.833	0.667	0.67
chr1	923177	923179	0.765	0.8	0.5429999999999999	0.7170000000000001	0.8	0.8009999999999999	0.75	0.833	1.0	0.79	0.725	0.625	0.532	0.25	0.8
chr1	941653	941655	0.251	0.247	0.0	0.6	0.14300000000000002	0.20199999999999999	1.0	0.0	0.33299999999999996	0.209	0.4	0.0	0.1	0.0	0.0
chr1	925683	925685	0.44	NA	0.2	0.503	0.0	0.0	0.33	0.5	NA	0.33	0.0	0.0	0.0	0.0	NA
chr1	940881	940883	0.307	0.0	0.33299999999999996	0.667	0.165	0.28600000000000003	0.25	0.0	0.33299999999999996	0.5	0.109	0.0	0.098	0.0	0.0
chr1	935847	935849	0.16899999999999998	NA	0.667	0.625	0.141	0.875	0.4	0.33299999999999996	0.797	0.541	0.4	0.664	0.302	0.0	0.5
chr1	926209	926211	0.429	0.0	0.4	0.0	0.16699999999999998	0.337	0.25	0.25	0.0	0.18600000000000003	0.5	0.0	0.0	0.0	0.0
