	S01BHIA1_mono.bw.bg	S01MAPA1_mono.bw.bg	S01E03A1_mono.bw.bg	S017RE51_memb.bw.bg	S01ECGA1_naiveb.bw.bg	NBC_NC11_41_naiveb.bw.bg	C002CTA1bs_cytnk.bw.bg	C0067N51_cytnk.bw.bg	S01E8O51_cytnk.bw.bg	S009W451_CD4.bw.bg	S008H151_CD4.bw.bg	C0066P51_CD8.bw.bg	C003VO55_CD8.bw.bg	C00256A1bs_CD8.bw.bg
chr12:52497289	4.9	7.4	6.866666667	72.3	74.86666667	66.86666667	9.466666667	13.3	22.93333333	6.3	6.533333333	20.93333333	5.033333333	9.566666667
chr1:151149892	6.833333333	5.166666667	6.566666667	63.63333333	71.3	69.9	2.4	4.666666667	4.433333333	0.8	2.533333333	4.1	6.466666667	5
chr17:79952134	4.1	3.766666667	5.533333333	60.6	91.06666667	87.73333333	8.666666667	10.6	10.03333333	4.4	0	2.466666667	3.166666667	5.366666667
chr18:58946467	6.3	0	4.633333333	97.43333333	71.13333333	82.53333333	1.233333333	11.36666667	5.133333333	2.766666667	8.166666667	2.566666667	0	1.2
chr17:56897296	1.066666667	1.833333333	0	91.8	60.86666667	75.26666667	3.766666667	2.8	2.7	3.033333333	0	3.166666667	6.4	1.766666667
chr2:11374434	3.933333333	1.433333333	4.8	88.06666667	60.3	64.8	10.33333333	7.9	3.366666667	3.733333333	2.566666667	10.83333333	4.333333333	7
chr2:69731607	4.533333333	6.7	11.56666667	81.33333333	65.96666667	47.43333333	5.4	3.766666667	1.433333333	0	2.566666667	0	2.3	2.166666667
chr5:124706892	4.65	6.5	2.025	77.4	65.425	60.9	6.125	11.6	8.675	3.775	6.025	6.9	3.6	2.125
chr15:90591109	2.166666667	2.4	1.333333333	74.13333333	64.4	59.86666667	7.1	3.933333333	4.566666667	3.1	5.566666667	3.366666667	6.833333333	6.966666667
chr15:99442883	2.233333333	5.733333333	2.133333333	83.26666667	64.43333333	59.6	3.666666667	5.433333333	2.533333333	0.933333333	4.2	1.4	7.266666667	4.033333333
chr17:77323264	48.2	9.84	9.8	99.36	100	99.52	8.1	4.9	4.76	3.14	1.66	4.74	1.72	3.88
chr16:10595006	6.825	7.5	6.25	97.825	96.225	98.93333333	9.125	20.4	20.65	8	11.85	23.35	6.525	16.125
chr18:55424161	4.7	0	1.766666667	82.93333333	88.43333333	90.6	9.033333333	0	3.833333333	4.966666667	3.333333333	0	3.666666667	8.333333333
chr13:23846055	1.766666667	6.433333333	1.5	88.66666667	88.23333333	90.83333333	5.8	3.266666667	3.366666667	0	5.9	4.166666667	4.333333333	1.866666667
chr12:6224703	12.4	11.73333333	3.366666667	90.66666667	94.4	96.23333333	4.833333333	6.7	17.63333333	1.733333333	4	3.566666667	2	6.9
chr16:85481058	2.333333333	2.233333333	4.966666667	99.2	100	100	10.8	6.6	6.866666667	4.033333333	5.233333333	0	3.2	10.3
chr17:3967119	8.166666667	11.96666667	6.9	99.4	100	97.63333333	10.9	11.83333333	6.266666667	4.566666667	3.833333333	4.1	6.333333333	7.4
chr8:9720461	3.433333333	11.3	0.933333333	100	96.4	100	3	4.933333333	1.233333333	2.733333333	3.433333333	3.5	3.033333333	0
chr1:172391053	1.333333333	0.933333333	4.833333333	97.96666667	91	96.63333333	2.766666667	2	2.9	2.5	1.333333333	1.766666667	1.933333333	5.3
chr8:22530321	4.633333333	2.466666667	5.833333333	97.66666667	97.96666667	100	8.366666667	6.666666667	0	0	1.6	1.233333333	2.333333333	1.066666667
chr17:82848554	3.02	4.86	2.3	2.28	2.8	1.88	74.48	70.22	74.82	0.6	1.76	4.3	9.42	21.32
chr19:10612785	4.9	5.6	9.433333333	6.433333333	7.066666667	5.266666667	53.7	57.83333333	68.4	4.666666667	3.8	3.466666667	4.833333333	12.36666667
chr20:19315336	2.85	2.875	4.1	11.7	3.375	9.425	57.625	70.025	68.75	9.175	2.45	7.325	1.4	12.525
chr19:2546857	51.3	28.7	19.1	10.46666667	7.466666667	17.9	73.76666667	91.9	100	7.066666667	10.33333333	31.43333333	6.2	22.3
chr19:2546742	39.8375	16.4375	30.4	12.6125	22.2625	23.7625	73.4875	96.65	98.275	9.6	17.2125	22.275	6.9125	15.3875
chr2:48146807	24.3	22.13333333	9.233333333	5.8	5.7	2.066666667	78.43333333	68.5	94.16666667	5.433333333	2.833333333	9.9	7.4	13.3
chr4:3940172	8.333333333	10.26666667	11.73333333	19.53333333	6.1	3.833333333	68.66666667	84.9	84.3	17.16666667	10.16666667	27.76666667	11.33333333	29.8
chr4:152957691	5.333333333	15.46666667	6.2	18.13333333	6.3	14.23333333	88.9	100	100	5.133333333	4.766666667	9.533333333	2.7	16.76666667
chr4:1177723	11.16666667	14.36666667	7.3	16	3.433333333	3.566666667	94.76666667	100	100	4.966666667	4.766666667	16.83333333	11.03333333	29.36666667
chr19:38675798	3.133333333	4.366666667	4.866666667	3.266666667	0.9	2.733333333	90.46666667	100	99.03333333	3	4.3	7.433333333	13	22.33333333
chr7:139873954	1.666666667	4.3	2.833333333	5.233333333	5.5	4.333333333	83.96666667	98.6	100	2.433333333	4.7	3.933333333	3.4	19.5
chr1:15407486	7.333333333	6.366666667	3.233333333	9.833333333	7.7	2.233333333	90.9	98.96666667	97.83333333	6.066666667	5.566666667	2.966666667	1	19.1
chr11:66316582	5.7	1.266666667	0	5.033333333	1.5	2.066666667	10.46666667	6.133333333	0	9.833333333	7.533333333	87.46666667	94.93333333	74.1
chr14:50096638	6.966666667	7.4	12.8	10.7	5.966666667	1.733333333	20.9	9.6	9.366666667	95.6	98.76666667	32.03333333	70.96666667	47.86666667
chr7:4739732	3.166666667	1.933333333	2.833333333	1.666666667	0.9	5.633333333	5.633333333	8.766666667	9.4	78.36666667	78.8	33.13333333	29.56666667	16.53333333
chr4:3370546	5.76	4	8.06	6.02	5.38	11.66	9.66	12.22	9.96	63.46666667	61.26	16.1	38.7	25.12
chr5:36789044	0	3.266666667	4.833333333	43.03333333	62.9	42.8	5.033333333	2.366666667	8.733333333	0	4.1	0	1.933333333	3.1
chr2:64089635	1.366666667	3.3	5.366666667	37.3	31.13333333	27.43333333	9.933333333	5.466666667	2.9	1.866666667	2.233333333	1.233333333	1.666666667	4.133333333
chr3:66429085	7.566666667	5.966666667	4.966666667	30.2	23.3	22.7	6.6	6.733333333	6.066666667	2.7	3.133333333	1.433333333	5.1	3.566666667
chr16:74522006	4.466666667	6.366666667	4.566666667	27.76666667	32.03333333	30.4	4.733333333	6.666666667	3.266666667	5.866666667	3.633333333	5.733333333	5.366666667	2.9
chr4:110047074	3.6	2.666666667	4.633333333	5.966666667	2.166666667	3.533333333	6.566666667	2.533333333	2.6	22.43333333	23.1	4.366666667	10.53333333	7
chr22:23521232	2.333333333	4.766666667	3.2	10.26666667	1.5	0.766666667	5.7	4.6	4.166666667	29.03333333	30.33333333	3.8	5.3	4.766666667
chr1:28243580	5.15	12.125	14.55	6.075	0	1.45	6.05	2.775	6.625	36.1	45.2	2.075	10.725	8.825
chr7:130994945	8.3	6.1	0.925	16.05	2.2	3.9	9.6	8.975	5.3	47.625	52.825	11.075	24.4	12.975
chr19:5954923	5.55	3.2	3.475	7.25	6.575	1.95	27.125	27.15	31.6	4.55	6.4	4.5	4.7	5.975
chr4:4518924	2.5	3.833333333	0	1.733333333	0	3.766666667	29.6	19.2	30.86666667	4.166666667	0	1.6	2.066666667	5.633333333
