chrom	start	end	Mono-B_cell	Mono-Naive CD4 T	Mono-NK	Mono-Naive CD8 T	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	Minimum delta rank	Average delta rank	(Minimum delta rank+Average delta rank)/2
chr1	936432	936434	0.28600000000000003	0.3683333333333333	0.31833333333333336	0.4583333333333334	0.28600000000000003	0.4583333333333334	0.35775	0.321875	1.0	1.0	1.0
chr1	939458	939460	0.24516666666666675	0.34550000000000003	0.3855000000000001	0.451	0.24516666666666675	0.451	0.35679166666666673	0.30097916666666674	3.0	2.0	2.5
chr1	936159	936161	0.30933333333333346	0.43033333333333335	0.2576666666666667	0.2486666666666667	0.2486666666666667	0.43033333333333335	0.31150000000000005	0.28008333333333335	2.0	5.0	3.5
chr1	930163	930165	0.1941666666666667	0.4165	0.4165	0.2738333333333334	0.1941666666666667	0.4165	0.32525	0.2597083333333333	6.0	3.0	4.5
chr1	925758	925760	0.26	0.29766666666666663	0.21666666666666667	0.2998333333333333	0.21666666666666667	0.2998333333333333	0.2685416666666667	0.24260416666666668	4.0	11.0	7.5
chr1	935044	935046	0.16949999999999998	0.4895000000000001	0.3715	0.2651666666666667	0.16949999999999998	0.4895000000000001	0.3239166666666667	0.24670833333333334	12.0	4.0	8.0
chr1	925778	925780	0.3	0.25	0.184	0.34950000000000003	0.184	0.34950000000000003	0.270875	0.2274375	8.0	10.0	9.0
chr1	925791	925793	0.2896666666666667	0.25	0.2776666666666667	0.198	0.198	0.2896666666666667	0.25383333333333336	0.22591666666666668	5.0	13.0	9.0
chr1	941103	941105	0.16399999999999998	0.26316666666666666	0.3503333333333333	0.39566666666666667	0.16399999999999998	0.39566666666666667	0.2932916666666666	0.2286458333333333	13.0	7.0	10.0
chr1	931187	931189	0.2736666666666665	0.19199999999999995	0.2523333333333333	0.2846666666666666	0.19199999999999995	0.2846666666666666	0.2506666666666666	0.22133333333333327	7.0	15.0	11.0
chr1	924624	924626	0.34450000000000003	0.17783333333333332	0.17800000000000002	0.34450000000000003	0.17783333333333332	0.34450000000000003	0.2612083333333334	0.21952083333333333	10.0	12.0	11.0
chr1	936216	936218	0.20666666666666667	0.52	0.13466666666666666	0.2773333333333333	0.13466666666666666	0.52	0.2846666666666666	0.20966666666666664	22.0	8.0	15.0
chr1	940585	940587	0.209	0.266	0.183	0.2486666666666667	0.183	0.266	0.22666666666666666	0.2048333333333333	9.0	26.0	17.5
chr1	924632	924634	0.3733333333333333	0.15	0.15	0.3165	0.15	0.3733333333333333	0.2474583333333333	0.19872916666666665	19.0	17.0	18.0
chr1	933468	933470	0.2936666666666667	0.15466666666666656	0.2383333333333333	0.3010000000000001	0.15466666666666656	0.3010000000000001	0.2469166666666667	0.20079166666666665	18.0	19.0	18.5
chr1	927949	927951	0.2623333333333332	0.2666666666666666	0.30299999999999994	0.15566666666666662	0.15566666666666662	0.30299999999999994	0.2469166666666666	0.2012916666666666	17.0	20.0	18.5
chr1	929034	929036	0.15416666666666673	0.4191666666666667	0.4865	0.1135	0.1135	0.4865	0.2933333333333333	0.20341666666666663	35.0	6.0	20.5
