chrom	start	end	Average delta rank	Minimum delta rank	Naive CD4 T-Naive CD8 T	Naive CD4 T-Mono	Naive CD4 T-NK	Naive CD4 T-B_cell	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2
chr1	933908	933910	1	3	0.5954999999999999	0.248	0.3818333333333334	0.24716666666666665	0.24716666666666665	0.5954999999999999	0.368125	0.3076458333333333	2.0
chr1	938879	938881	9	1	0.3715000000000001	0.393	0.3270000000000001	0.2500000000000001	0.2500000000000001	0.393	0.3353750000000001	0.2926875000000001	5.0
chr1	927476	927478	3	10	0.1926666666666667	0.5138333333333334	0.4316666666666666	0.3076666666666666	0.1926666666666667	0.5138333333333334	0.3614583333333333	0.2770625	6.5
chr1	937456	937458	6	8	0.20000000000000007	0.33333333333333337	0.33333333333333337	0.5	0.20000000000000007	0.5	0.3416666666666667	0.27083333333333337	7.0
chr1	932855	932857	16	0	0.29166666666666674	0.37	0.28766666666666674	0.2616666666666666	0.2616666666666666	0.37	0.30275	0.2822083333333333	8.0
chr1	923666	923668	10	9	0.4163333333333333	0.25966666666666666	0.19566666666666666	0.395	0.19566666666666666	0.4163333333333333	0.31666666666666665	0.25616666666666665	9.5
chr1	926194	926196	5	15	0.17133333333333334	0.3880000000000001	0.557	0.2763333333333333	0.17133333333333334	0.557	0.3481666666666667	0.25975000000000004	10.0
chr1	924395	924397	19	2	0.267	0.3443333333333333	0.25	0.2766666666666667	0.25	0.3443333333333333	0.2845	0.26725	10.5
chr1	930026	930028	8	16	0.16799999999999993	0.466	0.466	0.2436666666666667	0.16799999999999993	0.466	0.33591666666666664	0.2519583333333333	12.0
chr1	939136	939138	18	7	0.31833333333333336	0.3653333333333334	0.20166666666666666	0.2526666666666667	0.20166666666666666	0.3653333333333334	0.28450000000000003	0.24308333333333335	12.5
chr1	940969	940971	22	11	0.19033333333333333	0.19433333333333333	0.3263333333333333	0.37833333333333335	0.19033333333333333	0.37833333333333335	0.2723333333333333	0.23133333333333334	16.5
chr1	939257	939259	20	13	0.17966666666666653	0.259	0.4046666666666666	0.2779999999999999	0.17966666666666653	0.4046666666666666	0.2803333333333333	0.22999999999999993	16.5
