chrom	start	Mono-others	Bcell-others	CD4-others	CD8-others	NK-others
chr4	39632731	0.9	-1.0	0.9	0.9	0.9
chr21	33296290	0.9	-0.9894999999999998	0.9	0.9	0.9
chr4	153581955	0.9	-0.9871666666666666	0.9	0.9	0.9
chr7	24932993	0.9	-0.9870833333333334	0.9	0.9	0.9
chr1	15572130	0.9	-0.988	0.9	0.9	0.9
chr3	13022019	0.9	-0.9849166666666668	0.9	0.9	0.9
chr4	101807289	0.9	-0.9885833333333334	0.9	0.9	0.9
chr4	39632725	0.9	-0.9930833333333332	0.9	0.9	0.9
chr10	63260649	0.9	-0.98525	0.9	0.9	0.9
chr6	157560916	0.9	-0.9849166666666668	0.9	0.9	0.9
chr16	11966064	0.9	-0.9808333333333334	0.9	0.9	0.9
chr1	174276335	0.9	-0.9859166666666666	0.9	0.9	0.9
chr3	13021635	0.9	-0.9848333333333332	0.9	0.9	0.9
chr6	106649200	0.9	-0.9815833333333334	0.9	0.9	0.9
chr1	15571819	0.9	-0.985	0.9	0.9	0.9
chr2	25564001	0.9	-0.98325	0.9	0.9	0.9
chr2	27042310	0.9	-0.98225	0.9	0.9	0.9
chr9	131725510	0.9	-0.9864166666666668	0.9	0.9	0.9
chr12	131766536	0.9	-0.9785833333333334	0.9	0.9	0.9
chr22	33568705	0.9	-0.9843333333333334	0.9	0.9	0.9
chr16	87701775	0.9	-0.98075	0.9	0.9	0.9
chr1	15572075	0.9	-0.9781666666666666	0.9	0.9	0.9
chr6	157560921	0.9	-0.9816666666666668	0.9	0.9	0.9
chr8	11545504	0.9	-0.9775	0.9	0.9	0.9
chr18	36060561	0.9	-0.9798333333333332	0.9	0.9	0.9
chr17	48374086	0.9	-0.9795833333333333	0.9	0.9	0.9
chr1	15572098	0.9	-0.9825833333333333	0.9	0.9	0.9
chr10	70491165	0.9	-0.9808333333333332	0.9	0.9	0.9
chr14	73388160	0.9	-0.9763333333333336	0.9	0.9	0.9
chr22	25643588	0.9	-0.98	0.9	0.9	0.9
chr17	45112023	0.9	-0.9745	0.9	0.9	0.9
chr12	131766435	0.9	-0.9766666666666668	0.9	0.9	0.9
chr12	131766659	0.9	-0.977	0.9	0.9	0.9
chr19	38049767	0.9	-0.976	0.9	0.9	0.9
chr19	17753035	0.9	-0.9768333333333334	0.9	0.9	0.9
chr11	19979575	0.9	-0.9762499999999998	0.9	0.9	0.9
