NAME	celltype
chr6:13761191	CD14
chr17:77100327	CD14
chr16:12344913	CD14
chr8:27391187	CD14
chr10:127918798	CD14
chr2:28717532	CD14
chr6:16728327	CD14
chr17:2803604	CD14
chr8:141137888	CD14
chr7:6434288	CD14
chr19:14127431	CD14
chr2:47058769	CD14
chr8:673597	CD14
chr1:246582614	CD14
chr3:196625294	CD14
chr8:30113222	CD14
chr1:33338967	CD14
chr9:134371875	CD14
chr11:94545744	CD14
chr13:50715520	CD14
chr16:3591051	CD14
chr1:21317537	CD14
chr3:171825698	CD14
chr2:206098979	CD14
chr5:142803621	CD14
chr19:47664412	CD14
chr17:42226001	CD14
chr9:77849184	CD14
chr12:122401002	CD14
chr1:235835471	CD14
chr9:113188524	CD14
chr10:29630715	CD14
chr1:8892395	CD14
chr8:26611852	CD14
chr19:18301290	CD14
chr16:84083087	CD14
chr19:40364149	CD14
chr12:64700027	CD14
chr17:58493698	CD14
chr21:44849824	CD14
chr15:63502704	CD14
chr20:19974936	CD14
chr16:27415071	CD14
chr15:99455298	CD14
chr9:127131524	CD14
chr4:3085127	CD14
chr11:67302298	CD14
chr22:37682695	CD14
chr12:121278668	CD14
chr8:28773612	CD14
chr8:22530321	CD19
chr1:172391053	CD19
chr8:9720461	CD19
chr17:56897296	CD19
chr18:55424161	CD19
chr13:23846055	CD19
chr18:58946467	CD19
chr16:85481058	CD19
chr2:69731607	CD19
chr15:99442883	CD19
chr5:36789044	CD19
chr17:79952134	CD19
chr17:77323264	CD19
chr12:6224703	CD19
chr1:151149892	CD19
chr15:90591109	CD19
chr17:3967119	CD19
chr2:11374434	CD19
chr5:124706892	CD19
chr16:10595006	CD19
chr2:64089635	CD19
chr12:52497289	CD19
chr16:74522006	CD19
chr3:66429085	CD19
chr7:4739732	CD4
chr1:28243580	CD4
chr14:50096638	CD4
chr22:23521232	CD4
chr7:130994945	CD4
chr4:3370546	CD4
chr4:110047074	CD4
chr11:66316582	CD8
chr7:139873954	CD56
chr19:38675798	CD56
chr17:82848554	CD56
chr1:15407486	CD56
chr6:16767672	CD56
chr13:50422386	CD56
chr20:19315336	CD56
chr4:152957691	CD56
chr4:4518924	CD56
chr4:1177723	CD56
chr2:43140593	CD56
chr2:48146807	CD56
chr19:10612785	CD56
chr12:124433490	CD56
chr1:167487791	CD56
chr16:85521229	CD56
chr2:231400636	CD56
chr7:2459139	CD56
chr15:41260007	CD56
chr4:3940172	CD56
chr18:48947238	CD56
chr19:2546857	CD56
chr19:5954923	CD56
chr1:159027376	CD56
chr19:2546742	CD56
chr13:99616549	CD56
chr2:233388195	CD56
chr11:114198263	CD56
