chrom	start	Mono-others	Bcell-others	CD4-others	CD8-others	NK-others
chr1	936082	0.9	0.9	0.9	0.9	-0.4686666666666667
chr1	928247	0.9	0.9	0.9	0.9	-0.41875
chr1	935577	0.9	0.9	0.9	0.9	-0.3131666666666668
chr1	940039	0.9	0.9	0.9	0.9	-0.3339583333333333
chr1	923025	0.9	0.9	0.9	0.9	-0.30941666666666656
chr1	924594	0.9	0.9	0.9	0.9	-0.3043333333333333
chr1	930255	0.9	0.9	0.9	0.9	-0.2927500000000001
chr1	929755	0.9	0.9	0.9	0.9	-0.25383333333333336
chr1	925596	0.9	0.9	0.9	0.9	-0.26875
chr1	940035	0.9	0.9	0.9	0.9	-0.311
chr1	932873	0.9	0.9	0.9	0.9	-0.2535833333333334
chr1	925584	0.9	0.9	0.9	0.9	-0.2525
chr1	941729	0.9	0.9	0.9	0.9	-0.2525
chr1	936736	0.9	0.9	0.9	0.9	-0.21833333333333327
chr1	923177	0.9	0.9	0.9	0.9	-0.2350833333333333
chr1	941653	0.9	0.9	0.9	0.9	-0.24875000000000005
chr1	925683	0.9	0.9	0.9	0.9	-0.25316666666666665
chr1	940881	0.9	0.9	0.9	0.9	-0.21316666666666667
chr1	935847	0.9	0.9	0.9	0.9	-0.2351666666666667
chr1	926209	0.9	0.9	0.9	0.9	-0.20991666666666667
