chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	924624	924626	0.111	NA	0.2	0.5	0	1	0.5	0.5	0	0.667	NA	0.333	0	NA	0.667
chr1	924632	924634	0	NA	0.2	0.67	0.25	0.5	NA	0.5	0	0.833	NA	0	0	NA	0.5
chr1	925758	925760	0.107	0	0	0.5	0.167	0.22	0.5	0	0.5	0.338	NA	0.333	0.427	0.33	0
chr1	925778	925780	0	0	0	0.4	0.125	0.375	NA	0	0.5	0.499	NA	0.2	0.222	0.33	0
chr1	925791	925793	0	0	0	0.4	0.222	0.247	NA	0	0.5	0.396	NA	0	0.333	0.5	0
chr1	925796	925798	0	0.247	0	0.6	0.3	0.247	NA	0	0.5	0.604	NA	0.333	0.4	0.25	0
chr1	927949	927951	0.709	0.753	0.571	1	0.82	1	1	0.833	1	1	1	0.5	0.942	1	1
chr1	929034	929036	0.331	NA	0.234	0.645	0.289	0.376	1	0.602	0.503	0.65	0	0.538	0.64	0.667	1
chr1	930163	930165	0.5	0.667	NA	1	0.333	1	1	1	1	0.902	0.67	1	1	1	NA
chr1	931187	931189	0.714	0.667	0.598	0.8	1	1	0.753	0.802	1	1	1	0.833	0.877	1	0.859
chr1	933468	933470	0.498	0.33	0.625	1	0.667	0.667	0.67	1	0.247	0.497	1	0.859	0.704	0.75	0.714
chr1	935044	935046	0.14	NA	0.283	0.143	0	1	NA	0.402	1	0.716	0	0.714	0.833	NA	0.333
chr1	935270	935272	0.25	0	0.5	0.581	0.235	0.419	0.501	0.427	0.455	0.741	0.427	0.571	0.471	0.333	0.503
chr1	936159	936161	0.57	0	0.556	0.78	0.502	0.772	0.667	0.75	1	0.75	0.621	0.501	0.564	0.335	1
chr1	936165	936167	0.429	0	0.798	0.83	0.5	0.716	0.667	0.857	1	0.749	0.446	0.43	0.531	0.165	1
chr1	936216	936218	0.362	0	0.702	0.784	0	0.9	1	0.624	1	0.604	0.625	0.667	0.468	0	1
chr1	936432	936434	0.75	0	0.545	0.8	0.753	0.6	0.4	1	1	0.87	0.8	1	0.75	0.5	1
chr1	939458	939460	0.333	NA	0.5	0.9	0.333	0.752	1	0.429	0.857	0.955	NA	0.78	1	0.571	0.835
chr1	940585	940587	0	0	0.202	0.5	0.113	0.216	0.4	0	0.6	0.555	0.25	0.143	0.154	0.199	0.398
chr1	941103	941105	0.098	0	0.113	0.538	0.165	0	NA	0.667	0	0.648	0	0.75	0.429	0.5	0.333
