chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	64494	64496	1	NA	NA	NA	NA	1	NA	1	1	NA	NA	0	NA	0.753	NA
chr1	64562	64564	0.735	0.9	0.556	0.802	0.571	0.7	0.5	0.5	0.333	0	0.167	0.167	0.714	0.77	0.898
chr1	64763	64765	0.889	0.88	1	0.752	0.25	1	0.429	0.667	0.625	0.83	0.3	0.803	0.667	0.78	1
chr1	64899	64901	1	1	NA	1	0.402	1	NA	NA	0.398	NA	0.333	NA	NA	NA	1
chr1	67182	67184	1	1	1	NA	0.8	1	1	0.714	1	NA	1	1	1	1	1
chr1	67222	67224	1	1	1	NA	1	1	0.75	0.857	1	NA	0.5	0.8	1	1	1
chr1	68238	68240	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	68245	68247	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	69494	69496	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
chr1	69535	69537	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA
chr1	69550	69552	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA
chr1	69557	69559	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA
chr1	69590	69592	NA	NA	NA	NA	NA	0.67	NA	NA	NA	1	NA	NA	1	NA	NA
chr1	70602	70604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1
chr1	70664	70666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0
chr1	72309	72311	NA	0	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA
chr1	72338	72340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
chr1	72453	72455	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
chr1	922981	922983	0.933	1	1	1	1	1	1	1	0.8	1	0.713	1	1	1	1
chr1	922991	922993	1	1	1	1	1	0.902	1	1	0.8	1	0.665	0.945	1	0.62	1
chr1	923025	923027	0.624	0.833	0.667	0.907	0.734	0.904	0.753	0.667	1	0.898	0.713	0.825	0.692	0.596	0.165
chr1	923048	923050	1	1	0.923	0.918	1	0.872	0.75	1	1	0.9	1	1	1	1	1
chr1	923053	923055	1	0.802	0.92	0.835	0.859	1	1	1	1	0.915	1	0.929	1	1	0.75
chr1	923070	923072	0.78	0.802	0.917	1	0.753	0.5	1	0.833	1	0.641	0.857	0.917	0.917	0.503	0.857
chr1	923081	923083	0.836	0.75	0.889	1	0.923	0.857	1	1	1	0.923	1	0.8	0.91	0.917	1
chr1	923166	923168	0.714	0.167	0.833	0.622	0.25	0.73	0.667	0.25	1	0.466	0.298	0.501	0.668	0.571	1
chr1	923177	923179	0.765	0.8	0.543	0.717	0.8	0.801	0.75	0.833	1	0.79	0.725	0.625	0.532	0.25	0.8
chr1	923217	923219	0.356	0.2	0.247	0.286	0	0.123	0.667	0.25	0.33	0.285	0	0.5	0.293	0	0.25
chr1	923234	923236	0.695	0	0.663	0.833	0.4	0.376	0	0.4	1	0.685	0.287	1	0.5	0.398	0.6
chr1	923260	923262	0.247	0	0.283	0.125	0	0.283	0	0	0	0.118	0	0	0.349	0	0
chr1	923331	923333	0.33	0.25	0.286	0.366	0.333	0.25	NA	0	0	0.364	0	0.427	0.346	0	0
chr1	923333	923335	0.165	0	0.143	0	0.333	0.25	NA	0	0.167	0.303	0.143	0.716	0.198	0.143	0
chr1	923409	923411	0.143	0.5	0	0.333	0	0	0	0	0	0.499	0	0.251	0.284	0	0
chr1	923439	923441	0.093	0	0.333	0	0.286	0.143	0	0	0	0.43	0.33	0.333	0.165	0	0
chr1	923446	923448	0.2	0	0.375	0	0.125	0	0	0.5	0.25	0.564	0	0.222	0.384	0	0
chr1	923450	923452	0.165	0	0.249	0	0	0.125	0	0	0	0.437	0.141	0.557	0.152	0	0
chr1	923485	923487	0.143	0	0.667	0.2	0	0	0.165	0	NA	0.475	0	0.154	0.382	0.5	0
chr1	923493	923495	0.214	0	0.284	0.67	0.3	0.286	0.165	0	NA	0.61	0	0.27	0.457	0.333	0
chr1	923560	923562	0.153	0	0.165	0.429	0	0	0.167	0.125	NA	0.228	0.402	0.182	0.332	0.333	0.333
chr1	923590	923592	0.383	0	0.125	0.499	0	0.113	0.167	0.165	0	0.371	0	0	0.248	0.427	0
