chrom	start	end	NaiveCD4-Bcell	NaiveCD4-Myloid	NaiveCD4-NK	NaiveCD4-NaiveCD8	NaiveCD4-PMNlike	NaiveCD4-Tregs	NaiveCD4-cm4	NaiveCD4-cm8	NaiveCD4-ed8	NaiveCD4-em4	NaiveCD4-em8	Minimum delta	Maximum delta	Average delta	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	(Minimum delta+Average delta)/2	Minimum delta rank	Average delta rank	(Minimum delta rank+Average delta rank)/2	OwnGroup_avg_delta	OtherGroup_avg_delta	OwnGroup_avg_delta rank	OtherGroup_avg_delta rank	(OwnGroup_avg_delta rank+OtherGroup_avg_delta rank)/2	(OwnGroup_avg_delta rank+Average delta rank)/2	Methylation rank	(Methylation rank+OtherGroup_avg_delta rank+OwnGroup_avg_delta rank)/3	(Methylation rank+Average delta rank+OwnGroup_avg_delta rank)/3	(Methylation rank+Average delta rank+Minimum delta rank)/3
chr1	923710	923712	0.009875	0.0075	0.006333333333333333	0.010666666666666666	0.018444444444444444	0.006500000000000001	0.005	0.006500000000000001	0.0265	0.0055000000000000005	0.034	0.005	0.034	0.012438131313131312	0.0	0.010666666666666666	0.016333333333333342	0.006333333333333333	0.004	0.0	0.0	0.03033333333333333	0.009666666666666664	0.0	0.0	0.0	0.006500000000000001	0.034	0.0	0.006500000000000001	0.0055000000000000005	0.0265	0.044500000000000005	0.005	0.0385	0.009000000000000001	0.008719065656565656	25450.0	239712.0	132581.0	0.012625	0.011939814814814815	114661.0	198466.0	156563.5	177186.5	1.0	104376.0	118124.66666666667	88387.66666666667
chr1	923818	923820	0.014875	0.0020625	0.004	0.008	0.002	0.006500000000000001	0.018000000000000002	0.013999999999999999	0.0115	0.006500000000000001	0.006999999999999999	0.002	0.018000000000000002	0.008585227272727274	0.0	0.008	0.01	0.004	0.02333333333333333	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.013999999999999999	0.006999999999999999	0.0	0.006500000000000001	0.006500000000000001	0.0115	0.0	0.018000000000000002	0.009000000000000001	0.0095	0.005292613636363637	27299.0	241446.0	134372.5	0.009437500000000001	0.0063124999999999995	115661.0	206953.0	161307.0	178553.5	1.0	107538.33333333333	119036.0	89582.0
chr1	924724	924726	0.034666666666666665	0.003979166666666666	0.0010000000000000005	0.009333333333333329	0.0008888888888888883	0.0016666666666666663	0.013666666666666669	0.013166666666666669	0.062166666666666676	0.002166666666666667	0.009666666666666669	0.0008888888888888883	0.062166666666666676	0.013851641414141415	0.0033333333333333327	0.012666666666666666	0.0	0.004333333333333334	0.07766666666666668	0.003666666666666667	0.009666666666666664	0.015666666666666666	0.01	0.0	0.0	0.0	0.0165	0.013	0.019	0.005	0.0055000000000000005	0.0655	0.0	0.017	0.0	0.035500000000000004	0.007370265151515152	28090.0	238318.0	133204.0	0.01410416666666667	0.01317824074074074	113841.0	195860.0	154850.5	176079.5	6.0	103235.66666666667	117388.33333333333	88804.66666666667
chr1	924793	924795	0.053875	0.001375	0.003666666666666667	0.024	0.001777777777777778	0.006999999999999999	0.015	0.019000000000000003	0.023	0.0095	0.006500000000000001	0.001375	0.053875	0.014972222222222222	0.0	0.024	0.01533333333333333	0.003666666666666667	0.12633333333333333	0.0	0.0	0.007333333333333334	0.0	0.0	0.0	0.0	0.019000000000000003	0.006500000000000001	0.0	0.006999999999999999	0.0095	0.023	0.008	0.015	0.0	0.003	0.00817361111111111	27733.0	236750.0	132241.5	0.013458333333333334	0.019009259259259257	114231.0	181163.0	147697.0	175490.5	1.0	98465.0	116994.0	88161.33333333333
chr1	925183	925185	0.031125	0.0149375	0.007333333333333334	0.043333333333333335	0.006222222222222222	0.0275	0.013	0.048	0.017	0.045	0.021	0.006222222222222222	0.048	0.024950126262626268	0.0	0.043333333333333335	0.013333333333333334	0.007333333333333334	0.05766666666666667	0.0	0.011333333333333334	0.033	0.0	0.028	0.025	0.0	0.048	0.021	0.0	0.0275	0.045	0.017	0.0	0.013	0.028	0.018000000000000002	0.015586174242424245	24791.0	209810.0	117300.5	0.027770833333333335	0.01742824074074074	100421.0	185466.0	142943.5	155115.5	1.0	95296.0	103410.66666666667	78200.66666666667
chr1	925335	925337	0.015375	0.01125	0.008333333333333333	0.008	0.0031111111111111114	0.0105	0.019500000000000003	0.0155	0.0345	0.035500000000000004	0.0095	0.0031111111111111114	0.035500000000000004	0.015551767676767681	0.0	0.008	0.005666666666666667	0.008333333333333333	0.021	0.0	0.0	0.06	0.0	0.0	0.0	0.004	0.0155	0.0095	0.0	0.0105	0.035500000000000004	0.0345	0.008	0.019500000000000003	0.0	0.0215	0.009331439393939395	26551.0	235872.0	131211.5	0.017666666666666667	0.009912037037037037	111060.0	202228.0	156644.0	173466.0	1.0	104429.66666666667	115644.33333333333	87474.66666666667
chr1	925972	925974	0.07050000000000001	0.038625000000000013	0.08633333333333333	0.06333333333333334	0.05011111111111111	0.008	0.044000000000000004	0.0765	0.067	0.0635	0.0865	0.008	0.0865	0.059491161616161616	0.0	0.06333333333333334	0.02066666666666667	0.08633333333333333	0.13966666666666666	0.024000000000000004	0.049666666666666665	0.052000000000000005	0.032	0.02	0.052500000000000005	0.028333333333333325	0.0765	0.0865	0.013500000000000002	0.008	0.0635	0.067	0.119	0.044000000000000004	0.0505	0.0415	0.03374558080808081	23856.0	109513.0	66684.5	0.06189583333333333	0.05307870370370371	67249.0	101560.0	84404.5	88381.0	1.0	56270.0	58921.0	44456.666666666664
chr1	935203	935205	0.033583333333333326	0.005270833333333336	0.05866666666666667	0.09066666666666667	0.03422222222222221	0.06483333333333333	0.051333333333333335	0.1333333333333333	0.22383333333333333	0.12233333333333335	0.2443333333333333	0.005270833333333336	0.2443333333333333	0.096582702020202	0.08366666666666668	0.17433333333333334	0.09233333333333332	0.14233333333333334	0.13366666666666666	0.07966666666666666	0.048	0.091	0.08533333333333333	0.125	0.1305	0.08066666666666668	0.217	0.32799999999999996	0.0195	0.1485	0.206	0.3075	0.1715	0.135	0.21850000000000008	0.13	0.05092676767676767	25301.0	63510.0	44405.5	0.12366666666666666	0.02435879629629629	33572.0	166687.0	100129.5	48541.0	548.0	66935.66666666667	32543.333333333332	29786.333333333332
chr1	935542	935544	0.013416666666666716	0.13160416666666674	0.12166666666666673	0.057333333333333375	0.14322222222222228	0.05916666666666673	0.12616666666666673	0.10216666666666673	0.16516666666666666	0.11016666666666672	0.1596666666666667	0.013416666666666716	0.16516666666666666	0.10815845959595964	0.2233333333333333	0.2806666666666667	0.2753333333333334	0.34500000000000003	0.06799999999999999	0.2856666666666667	0.39666666666666667	0.3376666666666666	0.4806666666666666	0.28200000000000003	0.3065	0.337	0.3255	0.38299999999999995	0.308	0.28250000000000003	0.3335	0.3885	0.408	0.34950000000000003	0.4280000000000001	0.4320000000000001	0.06078756313131318	21493.0	55506.0	38499.5	0.11268750000000005	0.09608101851851858	37733.0	55739.0	46736.0	46619.5	1435.0	31635.666666666668	31558.0	26144.666666666668
chr1	935596	935598	0.019708333333333383	0.04470833333333335	0.222	0.0606666666666667	0.06466666666666665	0.007833333333333359	0.07133333333333336	0.12383333333333335	0.11933333333333328	0.09233333333333338	0.1878333333333333	0.007833333333333359	0.222	0.09220454545454547	0.31966666666666665	0.38033333333333336	0.4423333333333334	0.5416666666666666	0.14333333333333334	0.428	0.4056666666666667	0.2843333333333333	0.41	0.3045	0.3185	0.35800000000000004	0.4435	0.5075	0.1715	0.3275	0.412	0.439	0.5900000000000001	0.391	0.431	0.479	0.050018939393939414	23926.0	67138.0	45532.0	0.11064583333333335	0.0430277777777778	38564.0	120348.0	79456.0	52851.0	1970.0	53627.333333333336	35890.666666666664	31011.333333333332
