chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	938180	938182	0.953	0.833	1.0	0.833	0.249	0.5	1.0	0.82	1.0	0.935	0.7	0.9259999999999999	0.665	0.602	1.0
chr1	939582	939584	1.0	1.0	0.7140000000000001	0.413	0.2	0.33299999999999996	0.67	1.0	0.33	0.46799999999999997	0.5	0.545	0.857	1.0	0.889
chr1	936471	936473	1.0	1.0	0.624	0.8759999999999999	0.2	0.8	0.75	1.0	1.0	0.8190000000000001	1.0	1.0	0.8	1.0	1.0
chr1	935038	935040	0.4	NA	0.8540000000000001	0.33	0.0	0.667	NA	0.402	1.0	0.7020000000000001	0.14300000000000002	0.857	1.0	NA	0.0
chr1	932975	932977	0.857	0.75	0.802	0.7490000000000001	0.602	0.44299999999999995	1.0	0.6	1.0	0.722	0.67	1.0	1.0	0.49700000000000005	1.0
chr1	925544	925546	0.41700000000000004	NA	0.249	0.0	0.0	0.0	0.43	0.0	0.0	0.198	0.753	0.111	0.402	0.0	0.25
chr1	939731	939733	0.772	0.6	0.857	0.5	0.33	0.6629999999999999	0.5	NA	0.777	0.95	0.753	0.8	0.889	0.802	0.78
chr1	930937	930939	0.75	NA	0.2	NA	0.0	0.0	0.67	0.4	0.0	0.11	0.33	0.0	0.25	0.0	NA
chr1	939074	939076	1.0	1.0	0.8759999999999999	0.5529999999999999	NA	1.0	NA	1.0	1.0	1.0	1.0	0.857	1.0	1.0	1.0
chr1	939229	939231	0.898	0.5	0.7290000000000001	0.846	0.2	0.5	NA	1.0	1.0	0.775	0.546	0.49700000000000005	1.0	1.0	0.8540000000000001
chr1	932311	932313	1.0	0.8	0.889	0.889	0.833	0.4	NA	1.0	0.75	0.929	0.875	1.0	0.818	NA	1.0
chr1	936428	936430	1.0	0.501	0.777	0.9	0.25	0.8	0.39799999999999996	1.0	1.0	1.0	0.8	1.0	0.75	1.0	1.0
chr1	933650	933652	0.75	0.33	0.857	0.25	0.711	0.557	0.667	0.602	0.802	0.613	0.753	0.765	0.598	0.634	1.0
chr1	925038	925040	0.429	NA	0.33299999999999996	NA	0.0	0.111	NA	0.503	0.0	0.289	0.5	0.5710000000000001	0.28300000000000003	0.0	NA
chr1	924750	924752	0.153	NA	0.335	0.222	0.0	0.0	0.25	0.0	0.33	0.765	0.0	0.22	0.16699999999999998	0.25	0.49700000000000005
chr1	939983	939985	0.33299999999999996	0.25	0.0	0.0	0.16699999999999998	0.0	0.5	0.49700000000000005	0.5	0.67	0.198	0.4	0.16699999999999998	0.25	0.0
chr1	939291	939293	0.9	1.0	0.872	0.7979999999999999	0.4	0.835	0.802	1.0	0.833	1.0	0.753	0.667	0.73	0.75	1.0
chr1	933094	933096	1.0	1.0	1.0	0.924	0.7020000000000001	0.7	1.0	1.0	NA	1.0	0.7140000000000001	1.0	0.7509999999999999	1.0	1.0
chr1	937641	937643	1.0	NA	1.0	0.667	0.667	1.0	0.8	NA	1.0	0.878	1.0	1.0	1.0	1.0	1.0
chr1	929547	929549	0.637	0.831	0.857	0.645	0.6990000000000001	0.6	0.835	1.0	0.7979999999999999	0.7020000000000001	0.753	0.889	0.841	0.9109999999999999	NA
