DMRchr	DMRstart	DMRend	chrom	start	end	celltype
chr10	17660300	17660757	chr10	17660299	17660301	[Tr]
chr10	17660300	17660757	chr10	17660476	17660478	[Tr]
chr10	17660300	17660757	chr10	17660540	17660542	[Tr]
chr10	17660300	17660757	chr10	17660560	17660562	[Tr]
chr10	17660300	17660757	chr10	17660598	17660600	[Tr]
chr10	17660300	17660757	chr10	17660664	17660666	[Tr]
chr10	17660300	17660757	chr10	17660729	17660731	[Tr]
chr10	17660300	17660757	chr10	17660755	17660757	[Tr]
chr18	13382885	13384080	chr18	13382884	13382886	[Tr]
chr18	13382885	13384080	chr18	13382895	13382897	[Tr]
chr18	13382885	13384080	chr18	13382911	13382913	[Tr]
chr18	13382885	13384080	chr18	13383177	13383179	[Tr]
chr18	13382885	13384080	chr18	13383234	13383236	[Tr]
chr18	13382885	13384080	chr18	13383247	13383249	[Tr]
chr18	13382885	13384080	chr18	13383335	13383337	[Tr]
chr18	13382885	13384080	chr18	13383363	13383365	[Tr]
chr18	13382885	13384080	chr18	13383373	13383375	[Tr]
chr18	13382885	13384080	chr18	13383527	13383529	[Tr]
chr18	13382885	13384080	chr18	13383549	13383551	[Tr]
chr18	13382885	13384080	chr18	13383553	13383555	[Tr]
chr18	13382885	13384080	chr18	13383563	13383565	[Tr]
chr18	13382885	13384080	chr18	13383597	13383599	[Tr]
chr18	13382885	13384080	chr18	13383665	13383667	[Tr]
chr18	13382885	13384080	chr18	13383749	13383751	[Tr]
chr18	13382885	13384080	chr18	13383786	13383788	[Tr]
chr18	13382885	13384080	chr18	13383836	13383838	[Tr]
chr18	13382885	13384080	chr18	13383856	13383858	[Tr]
chr18	13382885	13384080	chr18	13383986	13383988	[Tr]
chr18	13382885	13384080	chr18	13384001	13384003	[Tr]
chr18	13382885	13384080	chr18	13384040	13384042	[Tr]
chr18	13382885	13384080	chr18	13384078	13384080	[Tr]
chr2	203853750	203854356	chr2	203853749	203853751	[Tr]
chr2	203853750	203854356	chr2	203853943	203853945	[Tr]
chr2	203853750	203854356	chr2	203853956	203853958	[Tr]
chr2	203853750	203854356	chr2	203854015	203854017	[Tr]
chr2	203853750	203854356	chr2	203854095	203854097	[Tr]
chr2	203853750	203854356	chr2	203854174	203854176	[Tr]
chr2	203853750	203854356	chr2	203854265	203854267	[Tr]
