chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	923025	923027	0.624	0.833	0.667	0.907	0.734	0.904	0.753	0.667	1	0.898	0.713	0.825	0.692	0.596	0.165
chr1	923177	923179	0.765	0.8	0.543	0.717	0.8	0.801	0.75	0.833	1	0.79	0.725	0.625	0.532	0.25	0.8
chr1	924594	924596	0.67	NA	0.167	0	0.402	0.25	0.333	0.333	NA	0.497	NA	0	0	0	NA
chr1	925584	925586	0.305	NA	0.167	0.335	0	0.235	0.29	0.5	0	0.462	0.5	0	0	0	0
chr1	925596	925598	0.429	NA	0.333	0.402	0.333	0.141	0.29	0.333	0	0.248	0.335	0	0	0	0
chr1	925683	925685	0.44	NA	0.2	0.503	0	0	0.33	0.5	NA	0.33	0	0	0	0	NA
chr1	926209	926211	0.429	0	0.4	0	0.167	0.337	0.25	0.25	0	0.186	0.5	0	0	0	0
chr1	928247	928249	1	1	1	1	0.875	0.714	0.835	1	1	0.936	0.665	1	1	0	NA
chr1	929755	929757	1	NA	1	0.891	0.893	1	1	1	1	1	1	0.918	0.911	0.753	0.5
chr1	930255	930257	1	1	1	0.89	0.901	0.891	1	NA	1	1	1	0.831	1	1	0
chr1	932873	932875	1	1	1	1	0.8	1	1	1	0.603	0.798	0.75	1	0.891	0.333	0.753
chr1	935577	935579	0.867	0	1	0.666	0	0.882	0.753	0.714	0.643	0.417	0.384	1	0.602	0.29	0
chr1	935847	935849	0.169	NA	0.667	0.625	0.141	0.875	0.4	0.333	0.797	0.541	0.4	0.664	0.302	0	0.5
chr1	936082	936084	0.501	0.333	1	0.802	0.286	0.887	NA	1	1	0.833	0.8	0.626	0.574	0	NA
chr1	936736	936738	1	1	0.8	0.75	1	1	1	1	0.75	1	1	1	0.833	0.667	0.67
chr1	940035	940037	1	0	0.372	0.667	0.398	0	NA	0.5	0.602	0.725	0.443	0.778	0.286	0.098	NA
chr1	940039	940041	0.503	0.25	0.448	0.667	0.602	0.398	NA	0.667	0.602	0.581	0.22	0.667	0.372	0	NA
chr1	940881	940883	0.307	0	0.333	0.667	0.165	0.286	0.25	0	0.333	0.5	0.109	0	0.098	0	0
chr1	941653	941655	0.251	0.247	0	0.6	0.143	0.202	1	0	0.333	0.209	0.4	0	0.1	0	0
chr1	941729	941731	0.5	0.5	0.124	0.75	0.247	0	1	0	0	0.337	0	0.372	0.2	0	0
