chrom	start	Mono-others	Bcell-others	CD4-others	CD8-others	NK-others
chr1	936432	-0.35775	0.9	0.9	0.9	0.9
chr1	939458	-0.35679166666666673	0.9	0.9	0.9	0.9
chr1	936159	-0.31150000000000005	0.9	0.9	0.9	0.9
chr1	930163	-0.32525	0.9	0.9	0.9	0.9
chr1	925758	-0.2685416666666667	0.9	0.9	0.9	0.9
chr1	935044	-0.3239166666666667	0.9	0.9	0.9	0.9
chr1	925778	-0.270875	0.9	0.9	0.9	0.9
chr1	925791	-0.25383333333333336	0.9	0.9	0.9	0.9
chr1	941103	-0.2932916666666666	0.9	0.9	0.9	0.9
chr1	931187	-0.2506666666666666	0.9	0.9	0.9	0.9
chr1	924624	-0.2612083333333334	0.9	0.9	0.9	0.9
chr1	936216	-0.2846666666666666	0.9	0.9	0.9	0.9
chr1	940585	-0.22666666666666666	0.9	0.9	0.9	0.9
chr1	924632	-0.2474583333333333	0.9	0.9	0.9	0.9
chr1	933468	-0.2469166666666667	0.9	0.9	0.9	0.9
chr1	927949	-0.2469166666666666	0.9	0.9	0.9	0.9
chr1	929034	-0.2933333333333333	0.9	0.9	0.9	0.9
chr1	925796	-0.24704166666666666	0.9	0.9	0.9	0.9
chr1	936165	-0.2485833333333333	0.9	0.9	0.9	0.9
chr1	935270	-0.2220000000000001	0.9	0.9	0.9	0.9
