chrom	start	end	NK-Naive CD4 T	NK-B_cell	NK-Naive CD8 T	NK-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	Minimum delta rank	Average delta rank	(Minimum delta rank+Average delta rank)/2
chr1	936082	936084	0.7130000000000001	0.37133333333333335	0.466	0.3243333333333334	0.3243333333333334	0.7130000000000001	0.4686666666666667	0.3965000000000001	2.0	1.0	1.5
chr1	928247	928249	0.445	0.363	0.3670000000000001	0.5	0.363	0.5	0.41875	0.390875	1.0	2.0	1.5
chr1	935577	935579	0.4060000000000002	0.2186666666666668	0.3030000000000001	0.325	0.2186666666666668	0.4060000000000002	0.3131666666666668	0.2659166666666668	5.0	4.0	4.5
chr1	940039	940041	0.4485	0.3696666666666666	0.3033333333333333	0.21433333333333326	0.21433333333333326	0.4485	0.3339583333333333	0.2741458333333333	7.0	3.0	5.0
chr1	923025	923027	0.3223333333333333	0.3639999999999999	0.3276666666666666	0.2236666666666665	0.2236666666666665	0.3639999999999999	0.30941666666666656	0.26654166666666657	4.0	6.0	5.0
chr1	924594	924596	0.33299999999999996	0.21733333333333327	0.24850000000000005	0.4185	0.21733333333333327	0.4185	0.3043333333333333	0.26083333333333325	6.0	7.0	6.5
chr1	930255	930257	0.33333333333333337	0.2273333333333334	0.277	0.33333333333333337	0.2273333333333334	0.33333333333333337	0.2927500000000001	0.2600416666666667	3.0	10.0	6.5
chr1	929755	929757	0.27866666666666673	0.20666666666666667	0.2513333333333334	0.27866666666666673	0.20666666666666667	0.27866666666666673	0.25383333333333336	0.23025	8.0	12.0	10.0
chr1	925596	925598	0.20766666666666667	0.292	0.19433333333333333	0.381	0.19433333333333333	0.381	0.26875	0.23154166666666665	9.0	11.0	10.0
chr1	940035	940037	0.35899999999999993	0.16299999999999998	0.4566666666666666	0.26533333333333337	0.16299999999999998	0.4566666666666666	0.311	0.237	17.0	5.0	11.0
chr1	932873	932875	0.20866666666666667	0.2743333333333333	0.19033333333333347	0.3410000000000001	0.19033333333333347	0.3410000000000001	0.2535833333333334	0.22195833333333342	11.0	13.0	12.0
