DMRchr	DMRstart	DMRend	chrom	start	end	celltype
chr2	203835818	203836888	chr2	203835817	203835819	[Tr]
chr2	203835818	203836888	chr2	203835825	203835827	[Tr]
chr2	203835818	203836888	chr2	203835855	203835857	[Tr]
chr2	203835818	203836888	chr2	203835876	203835878	[Tr]
chr2	203835818	203836888	chr2	203835888	203835890	[Tr]
chr2	203835818	203836888	chr2	203835898	203835900	[Tr]
chr2	203835818	203836888	chr2	203835929	203835931	[Tr]
chr2	203835818	203836888	chr2	203836067	203836069	[Tr]
chr2	203835818	203836888	chr2	203836118	203836120	[Tr]
chr2	203835818	203836888	chr2	203836177	203836179	[Tr]
chr2	203835818	203836888	chr2	203836206	203836208	[Tr]
chr2	203835818	203836888	chr2	203836212	203836214	[Tr]
chr2	203835818	203836888	chr2	203836282	203836284	[Tr]
chr2	203835818	203836888	chr2	203836287	203836289	[Tr]
chr2	203835818	203836888	chr2	203836345	203836347	[Tr]
chr2	203835818	203836888	chr2	203836464	203836466	[Tr]
chr2	203835818	203836888	chr2	203836495	203836497	[Tr]
chr2	203835818	203836888	chr2	203836567	203836569	[Tr]
chr2	203835818	203836888	chr2	203836598	203836600	[Tr]
chr2	203835818	203836888	chr2	203836608	203836610	[Tr]
chr2	203835818	203836888	chr2	203836614	203836616	[Tr]
chr2	203835818	203836888	chr2	203836693	203836695	[Tr]
chr2	203835818	203836888	chr2	203836886	203836888	[Tr]
chr6	38937890	38938123	chr6	38937889	38937891	[Tr]
chr6	38937890	38938123	chr6	38937935	38937937	[Tr]
chr6	38937890	38938123	chr6	38937949	38937951	[Tr]
chr6	38937890	38938123	chr6	38937989	38937991	[Tr]
chr6	38937890	38938123	chr6	38938011	38938013	[Tr]
chr6	38937890	38938123	chr6	38938085	38938087	[Tr]
chr6	38937890	38938123	chr6	38938087	38938089	[Tr]
chr6	38937890	38938123	chr6	38938104	38938106	[Tr]
chr6	38937890	38938123	chr6	38938109	38938111	[Tr]
chr6	38937890	38938123	chr6	38938119	38938121	[Tr]
chr6	38937890	38938123	chr6	38938121	38938123	[Tr]
chr6	43222331	43223543	chr6	43222330	43222332	[Tr]
chr6	43222331	43223543	chr6	43222342	43222344	[Tr]
chr6	43222331	43223543	chr6	43222385	43222387	[Tr]
chr6	43222331	43223543	chr6	43222387	43222389	[Tr]
chr6	43222331	43223543	chr6	43222409	43222411	[Tr]
chr6	43222331	43223543	chr6	43222474	43222476	[Tr]
chr6	43222331	43223543	chr6	43222548	43222550	[Tr]
chr6	43222331	43223543	chr6	43222582	43222584	[Tr]
chr6	43222331	43223543	chr6	43222635	43222637	[Tr]
chr6	43222331	43223543	chr6	43222648	43222650	[Tr]
chr6	43222331	43223543	chr6	43222713	43222715	[Tr]
chr6	43222331	43223543	chr6	43222751	43222753	[Tr]
chr6	43222331	43223543	chr6	43222789	43222791	[Tr]
chr6	43222331	43223543	chr6	43222795	43222797	[Tr]
chr6	43222331	43223543	chr6	43222819	43222821	[Tr]
chr6	43222331	43223543	chr6	43222954	43222956	[Tr]
chr6	43222331	43223543	chr6	43223056	43223058	[Tr]
chr6	43222331	43223543	chr6	43223086	43223088	[Tr]
chr6	43222331	43223543	chr6	43223096	43223098	[Tr]
chr6	43222331	43223543	chr6	43223184	43223186	[Tr]
chr6	43222331	43223543	chr6	43223277	43223279	[Tr]
chr6	43222331	43223543	chr6	43223304	43223306	[Tr]
chr6	43222331	43223543	chr6	43223313	43223315	[Tr]
chr6	43222331	43223543	chr6	43223318	43223320	[Tr]
chr6	43222331	43223543	chr6	43223332	43223334	[Tr]
chr6	43222331	43223543	chr6	43223349	43223351	[Tr]
chr6	43222331	43223543	chr6	43223352	43223354	[Tr]
chr6	43222331	43223543	chr6	43223405	43223407	[Tr]
