chrom	start	Mono-others	Bcell-others	CD4-others	CD8-others	NK-others
chr1	64562	0.9	0.9	0.9	-0.5535833333333334	0.9
chr1	929305	0.9	0.9	0.9	-0.4865	0.9
chr1	929872	0.9	0.9	0.9	-0.3970833333333333	0.9
chr1	926297	0.9	0.9	0.9	-0.3433333333333333	0.9
chr1	933530	0.9	0.9	0.9	-0.412	0.9
chr1	932752	0.9	0.9	0.9	-0.3207499999999999	0.9
chr1	932935	0.9	0.9	0.9	-0.32725000000000004	0.9
chr1	67222	0.9	0.9	0.9	-0.31725	0.9
chr1	927903	0.9	0.9	0.9	-0.2839166666666666	0.9
chr1	931056	0.9	0.9	0.9	-0.30250000000000005	0.9
chr1	929837	0.9	0.9	0.9	-0.3449166666666667	0.9
chr1	927322	0.9	0.9	0.9	-0.2855416666666666	0.9
chr1	938610	0.9	0.9	0.9	-0.2858333333333333	0.9
chr1	929073	0.9	0.9	0.9	-0.2523749999999999	0.9
chr1	941650	0.9	0.9	0.9	-0.25825	0.9
chr1	930518	0.9	0.9	0.9	-0.2929999999999999	0.9
chr1	936617	0.9	0.9	0.9	-0.2605833333333333	0.9
chr1	928932	0.9	0.9	0.9	-0.2822083333333333	0.9
chr1	924125	0.9	0.9	0.9	-0.2755416666666667	0.9
chr1	928114	0.9	0.9	0.9	-0.222125	0.9
